primaryprojecttype,subtype,projectstatus,startdateactual,finishdateactual,projectsitename,projectsiteaddress,acronym,co2e_mt_calculated,postcode,borough,latitude,longitude,community_board,council_district,census_tract,bin,bbl,nta
HVAC System Upgrade,Retrofit,Completed,6-Mar-08,19-Sep-08,P.S. 123K / P.S. 377K / P.S. 106K,"1314 Putnam Avenue, 2120 Raymond Avenue",DOE,37.67,,,,,,,,,,
Energy Audit,None,Completed,,,Elmhurst Hospital Center,"79-01 Broadway  Elmhurst, NY  11373",HHC,,11373.0,QUEENS   ,40.744415999999994,-73.88609699999999,4.0,25.0,267.0,4437132.0,4015000002.0,Elmhurst                                                                   
Other,Retro-commissioning,Survey,,,K191 Paul Robeson,1600 Park Place,,,11233.0,BROOKLYN ,40.672005,-73.924329,8.0,41.0,359.0,3036635.0,3013750012.0,Crown Heights North                                                        
HVAC System Upgrade,Retrofit,Design,,,Brooklyn Central Court,120 Schermerhorn St,DCAS,346.23,11201.0,BROOKLYN ,40.690073999999996,-73.988923,2.0,33.0,43.0,3000534.0,3001690017.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
Energy Audit,None,In Progress,18-Jul-12,,K276 Louis Marshall,1070 East 83rd Street,DOE,0.0,11236.0,BROOKLYN ,40.634085,-73.907925,18.0,46.0,996.0,3225637.0,3080340001.0,Canarsie                                                                   
HVAC System Upgrade,Retrofit,Install,1-Jan-11,,The Metropolitan Museum Of Art,1000 5th Ave,MoMA,,10028.0,MANHATTAN,40.778633,-73.962546,64.0,6.0,143.0,1083810.0,1011110001.0,park-cemetery-etc-Manhattan                                                
Lighting System Upgrade,Retrofit,Completed,15-Jun-09,12-May-10,"Q 11/13A, Q 7,Q 13",75-05 WINCHESTER BLVD  DIST 11/13 GARAGE,DSNY,501.4,11427.0,QUEENS   ,40.742028999999995,-73.7333,13.0,23.0,1567.0,,,Bellerose                                                                  
Lighting System Upgrade,Retrofit,Completed,6-Mar-08,19-Sep-08,P.S. 123K / P.S. 377K / P.S. 106K,"100 Irving Avenue, 1025 Morrison Avenue",DOE,68.8,,,,,,,,,,
Other,Retro-commissioning,Proposed,,,Queens Criminal Court,120-55 Queens Blvd. Queens NY 11415,DCAS,,11415.0,QUEENS   ,40.713328999999995,-73.828601,9.0,29.0,216.0,4052812.0,4022740002.0,Kew Gardens                                                                
Energy Audit,None,Completed,12-Oct-10,31-May-11,K126 John Ericsson JHS,424 Leonard Street,DOE,,11222.0,BROOKLYN ,40.719819,-73.948625,1.0,33.0,499.0,3067788.0,3027120001.0,Greenpoint                                                                 
Other,Retro-commissioning,Survey,,,Murry Bergtraum High School (M520),411 Pearl Street,DOE,,10038.0,MANHATTAN,40.711442,-74.000851,1.0,1.0,29.0,1001388.0,1001130100.0,Chinatown                                                                  
Comprehensive,Retrofit,Design,,,48th Precinct,450 CROSS BRONX EXPWY BRONX NY,NYPD,22.92,10457.0,BRONX    ,40.844149,-73.900604,6.0,15.0,165.0,2009509.0,2029070010.0,Claremont-Bathgate                                                         
Lighting System Upgrade,Retrofit,Install,14-May-12,28-Sep-12,Washington Irving Branch Library,360 Irving Avenue,BPL,11.9,11237.0,BROOKLYN ,40.697745,-73.912157,4.0,37.0,435.0,3076852.0,3033620032.0,Bushwick North                                                             
Lighting System Upgrade,Retrofit,Completed,24-Jul-09,13-May-10,Bx 7/8,423 West 215th St.,DSNY,82.55,10034.0,MANHATTAN,40.869023999999996,-73.913916,12.0,10.0,299.0,1082036.0,1022120001.0,Marble Hill-Inwood                                                         
Lighting System Upgrade,Retrofit,Completed,12-Dec-08,20-Jul-09,Traffic Control Division,134-40 W 30TH ST,NYPD,30.02,10001.0,MANHATTAN,40.747739,-73.990739,5.0,3.0,95.0,1015151.0,1008050082.0,Midtown-Midtown South                                                      
Comprehensive,Retrofit,Design,,,J.H.S. 218 James P. Sinnott,370 Fountain Avenue,DOE,,11208.0,BROOKLYN ,40.670724,-73.874208,5.0,42.0,1118.0,3095977.0,3042780001.0,East New York                                                              
Energy Audit,None,Completed,18-Jan-11,30-Jun-11,NYPD CRS,53-15 58th Street,NYPD,0.0,11377.0,QUEENS   ,40.733733,-73.91054,2.0,30.0,243.0,4054276.0,4023610150.0,Elmhurst-Maspeth                                                           
Other,Retrofit,Design,1-Apr-11,30-Jun-11,M028 - P.S. 028 Wright Brothers,475 West 155th Street,DOE,,10032.0,MANHATTAN,40.831227,-73.942143,12.0,7.0,239.0,1076739.0,1021070026.0,Washington Heights South                                                   
Energy Audit,None,Completed,20-Apr-11,17-May-12,PS 199X The Shakespeare School,1449 Shakespeare Avenue,DOE,84.79,10452.0,BRONX    ,40.842943,-73.920563,4.0,16.0,21302.0,2088263.0,2028730027.0,Highbridge                                                                 
Energy Audit,None,Completed,,,Brooklyn  11,1824 Shore Parkway Brooklyn NY,DSNY,834.97,11214.0,BROOKLYN ,40.59132,-73.994509,11.0,43.0,304.0,3378180.0,3069430030.0,Bensonhurst East                                                           
Energy Audit,None,Completed,16-Mar-10,23-Aug-10,Brooklyn Heights Branch Library,286 Fulton Street,BPL,135.53,11201.0,BROOKLYN ,40.69552,-73.990963,2.0,33.0,502.0,3001939.0,3002390016.0,Brooklyn Heights-Cobble Hill                                               
Lighting System Upgrade,Retrofit,Substantially Completed,11-Oct-11,19-Mar-12,Jackie Robinson Recreation Center,89 Bradhurst Avenue,DPR,27.43,10039.0,MANHATTAN,40.824253000000006,-73.942189,10.0,9.0,231.0,1084164.0,1020520001.0,Hamilton Heights                                                           
Other,Retro-commissioning,Survey,,,J.H.S.43M,509 West 129th Street,DOE,,10027.0,MANHATTAN,40.815256,-73.955325,9.0,7.0,219.0,1059723.0,1019840033.0,Manhattanville                                                             
Lighting System Upgrade,Retrofit,Design,,,P.S. 057 Crescent,2111 Crotona Avenue,DOE,0.0,10457.0,BRONX    ,40.848471999999994,-73.888561,6.0,15.0,373.0,2012359.0,2030810026.0,East Tremont                                                               
Comprehensive,Retrofit,Design,,,Chelsea Recreation Center,430 West 25th St,DPR,,10001.0,MANHATTAN,40.748290999999995,-74.001649,4.0,3.0,93.0,1012811.0,1007220057.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
Other,Retro-commissioning,Survey,,,Brooklyn Heights Branch Library,280 Cadman Plaza West,BPL,,11201.0,BROOKLYN ,40.695657000000004,-73.991006,2.0,33.0,502.0,3001939.0,3002390016.0,Brooklyn Heights-Cobble Hill                                               
Lighting System Upgrade,Retrofit,Completed,6-May-10,21-Oct-10,Fleet Services R&T Building - 48-34 35th Street,48-34 35th Street,FDNY,253.34,11101.0,QUEENS   ,40.740165000000005,-73.930693,2.0,26.0,199.0,4003451.0,4002540001.0,Hunters Point-Sunnyside-West Maspeth                                       
Lighting System Upgrade,Retrofit,Completed,25-Jun-09,7-Jan-10,26th Street Repair Garage,640 West 26th Street,DSNY,366.78,10001.0,MANHATTAN,40.751183000000005,-74.00659399999999,4.0,3.0,99.0,1012267.0,1006700050.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
Energy Audit,None,Completed,15-Jun-12,2-Jul-12,Randals Island Fire Academy,Randals Island New York  10035,FDNY,,,,,,,,,,,
Lighting System Upgrade,Retrofit,Completed,20-Jan-11,21-Jul-11,Leonard Covello Senior Center,312 E. 109th Street,DFTA,23.32,10029.0,MANHATTAN,40.792305999999996,-73.94048000000001,11.0,8.0,170.0,1074278.0,1016800045.0,East Harlem South                                                          
Energy Audit,None,In Progress,,,M054- JHS 054- Booker T. Washington,103 W 107th Street,DOE,,10025.0,MANHATTAN,40.800119,-73.962837,7.0,7.0,193.0,1055990.0,1018620011.0,Morningside Heights                                                        
Comprehensive,Retrofit,Design,,,DOE Offices,65 Court Street,DOE,87.37,11201.0,BROOKLYN ,40.692012,-73.991227,2.0,33.0,9.0,3002557.0,3002660020.0,Brooklyn Heights-Cobble Hill                                               
Lighting System Upgrade,Retrofit,Substantially Completed,26-Jan-11,14-Oct-11,101st Precinct,"1612 Mott Avenue, or 16-12 Mott Avenue",NYPD,20.56,11691.0,QUEENS   ,40.602862,-73.75027800000001,14.0,31.0,103202.0,4298231.0,4155570004.0,Far Rockaway-Bayswater                                                     
Comprehensive,Retrofit,Design,,,K126 - John Ericson Junior High School,424 Leonard St,DOE,295.13,11222.0,BROOKLYN ,40.719819,-73.948625,1.0,33.0,499.0,3067788.0,3027120001.0,Greenpoint                                                                 
Lighting System Upgrade,Retrofit,Completed,9-Apr-12,28-Sep-12,Leonard Branch Library,81 Devoe Street,BPL,15.1,11211.0,BROOKLYN ,40.713456,-73.947916,1.0,34.0,503.0,3068818.0,3027620021.0,East Williamsburg                                                          
Other,Retro-commissioning,Survey,,,The Eileen E. Zaglin,1075 Ocean View Avenue,DOE,,11235.0,BROOKLYN ,40.579737,-73.956329,13.0,48.0,61004.0,3245498.0,3087120056.0,Brighton Beach                                                             
Energy Audit,None,Completed,16-Aug-11,6-Mar-12,Manhattan Civil Court,111 Centre Street,DCAS,,10013.0,MANHATTAN,40.716317,-74.001277,1.0,1.0,31.0,1001833.0,1001690010.0,SoHo-TriBeCa-Civic Center-Little Italy                                     
Energy Audit,None,Completed,18-Jul-12,4-Sep-12,Staten Island Borough Hall,215 East 161st Street,DCAS,1400.19,,,,,,,,,,
Other,Retro-commissioning,Survey,,,J.H.S.142X John Philip Sousa Middle School,3750 Baychester Avenue,DOE,,10466.0,BRONX    ,40.884953,-73.840524,12.0,12.0,484.0,2066190.0,2049350001.0,Eastchester-Edenwald-Baychester                                            
Lighting System Upgrade,Retrofit,Completed,29-Dec-09,8-Jul-10,P.S. 214Q,31-15 140th St.,DOE,53.86,11354.0,QUEENS   ,40.770387,-73.82861700000001,7.0,20.0,88901.0,4100846.0,4044130020.0,Flushing                                                                   
Lighting System Upgrade,Retrofit,Completed,13-May-08,9-Mar-09,P.S. 15X(Inst For Enviro)/P.S. 91X Mini/I.S. 206B (Ann Merser),"61 West 183rd Street, 2280 Aqueduct Avenue",DOE,60.54,,,,,,,,,,
HVAC System Upgrade,Retrofit,Substantially Completed,4-Apr-12,,Fleet Services Shop,654 West 158th Street,DOT,263.59,10032.0,MANHATTAN,40.836,-73.947567,12.0,7.0,241.0,1087614.0,1021340218.0,Washington Heights South                                                   
Lighting System Upgrade,Retrofit,Completed,12-Feb-10,24-Nov-10,Group 5 - 71st/76th/90th/94th/77 Annex Pcts,421 EMPIRE BOULEVARD,NYPD,64.13,11225.0,BROOKLYN ,40.664113,-73.947763,9.0,35.0,331.0,3034563.0,3013100001.0,Crown Heights South                                                        
Lighting System Upgrade,Retrofit,Design,,,P.S. 044 Thomas C. Brown,80 Maple Parkway,DOE,,10303.0,STATEN IS,40.63179,-74.156439,1.0,49.0,231.0,5027641.0,5012180001.0,Mariner's Harbor-Arlington-Port Ivory-Graniteville                         
Other,Retro-commissioning,Survey,,,K279 - Herman Schreiber,1076 East 104th Street,DOE,,11236.0,BROOKLYN ,40.644139,-73.89219200000001,18.0,46.0,986.0,3326733.0,3082300001.0,Canarsie                                                                   
Other,Retro-commissioning,Survey,,,DOE Offices,65 Court Street,DOE,,11201.0,BROOKLYN ,40.692012,-73.991227,2.0,33.0,9.0,3002557.0,3002660020.0,Brooklyn Heights-Cobble Hill                                               
Energy Audit,None,Completed,6-Feb-12,29-Jun-12,Queens 7 District Garage Annex,120-15 31st Ave. Queens NY,DSNY,526.73,11354.0,QUEENS   ,40.769692,-73.847197,7.0,19.0,907.0,,,College Point                                                              
Lighting System Upgrade,Retrofit,Completed,11-Mar-11,20-Dec-11,23K275 - 985 Rockaway Avenue,985 Rockaway Ave,DOE,153.36,11212.0,BROOKLYN ,40.656068,-73.90724499999999,16.0,42.0,922.0,3082940.0,3036360007.0,Brownsville                                                                
Lighting System Upgrade,Retrofit,Completed,3-Dec-10,11-Feb-11,44 Beaver Street,44 Beaver Street,DSNY,103.74,10004.0,MANHATTAN,40.705079,-74.010766,1.0,1.0,9.0,1000850.0,1000290073.0,Battery Park City-Lower Manhattan                                          
Energy Audit,None,In Progress,8-Aug-12,,K650 - Harry Vanarsdale Vocational HS,257 North 6th Street,DOE,,11211.0,BROOKLYN ,40.715073,-73.95475400000001,1.0,33.0,519.0,3062135.0,3023300011.0,North Side-South Side                                                      
Energy Audit,None,Completed,18-Mar-10,1-Sep-10,Brooklyn High School of the Arts,345 Dean Street,DOE,23.32,11217.0,BROOKLYN ,40.683559,-73.98026999999999,2.0,33.0,39.0,3001190.0,3001920013.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
Energy Audit,None,Completed,6-Feb-12,21-Jun-12,Bronx 12 District Garage,1635 East 233rd St. Bronx NY,DSNY,60.8,10466.0,BRONX    ,40.888188,-73.826903,12.0,12.0,456.0,2090261.0,2049740028.0,Eastchester-Edenwald-Baychester                                            
HVAC System Upgrade,Retrofit,Design,1-Feb-11,,Snug Harbor,1000 Richmond Terrace,DCLA,,10310.0,STATEN IS,40.645232,-74.104674,1.0,49.0,97.0,5000000.0,5000760200.0,West New Brighton-New Brighton-St. George                                  
Energy Audit,None,Completed,14-Oct-10,16-Mar-12,M217 - PS 217M,645 Main Street,DOE,627.8,10044.0,MANHATTAN,40.763894,-73.947916,8.0,5.0,23802.0,1084848.0,1013730001.0,Lenox Hill-Roosevelt Island                                                
Other,Retro-commissioning,Survey,,,J.H.S.220K John J. Pershing,4812 9th Avenue,DOE,,11220.0,BROOKLYN ,40.640545,-74.000731,12.0,38.0,108.0,3012824.0,3007780023.0,Sunset Park East                                                           
Lighting System Upgrade,Retrofit,Substantially Completed,26-Jan-11,9-Dec-11,114th Precinct,34-16 ASTORIA BOULEVARD,NYPD,57.26,11103.0,QUEENS   ,40.769581,-73.915593,1.0,22.0,6501.0,4009361.0,4006320030.0,Astoria                                                                    
Lighting System Upgrade,Retrofit,Completed,3-Aug-09,4-Feb-10,Manhattan Health Building - 125 Worth St.,125 Worth Street,DCAS,150.25,10013.0,MANHATTAN,40.715428,-74.002673,1.0,1.0,31.0,1001831.0,1001680032.0,SoHo-TriBeCa-Civic Center-Little Italy                                     
Comprehensive,Retrofit,Design,,,Queens 7 District Garage Annex,120-15 31st Ave. Queens NY,DSNY,526.73,11354.0,QUEENS   ,40.769692,-73.847197,7.0,19.0,907.0,,,College Point                                                              
Other,Retro-commissioning,Survey,,,K 251 Paerdegat,1037 East 54th Street,DOE,,11234.0,BROOKLYN ,40.632524,-73.924417,18.0,46.0,722.0,3214729.0,3077580001.0,Flatlands                                                                  
HVAC System Upgrade,Retrofit,Substantially Completed,15-Apr-12,,Queens Borough Hall,120-55 Queens Blvd,DCAS,2373.48,11415.0,QUEENS   ,40.713328999999995,-73.828601,9.0,29.0,216.0,4052812.0,4022740002.0,Kew Gardens                                                                
Other,None,,1-Jan-12,1-Jun-10,CUNY Solar Mapping Project,Not applicable,CUNY,,,,,,,,,,,
Comprehensive,Retrofit,Design,,,Bronx 12 District Garage,1635 East 233rd St. Bronx NY,DSNY,60.8,10466.0,BRONX    ,40.888188,-73.826903,12.0,12.0,456.0,2090261.0,2049740028.0,Eastchester-Edenwald-Baychester                                            
Energy Audit,None,Completed,12-Apr-11,7-May-12,K383 JHS 383 Philippa Schuyler,1300 Greene Av,DOE,156.59,11237.0,BROOKLYN ,40.697781,-73.919777,4.0,37.0,431.0,3075413.0,3032980001.0,Bushwick North                                                             
Comprehensive,Retrofit,Install,16-Aug-12,,K041 - P.S. 041 Francis White,411 Thatford Avenue,DOE,93.69,11212.0,BROOKLYN ,40.660306,-73.90735500000001,16.0,42.0,918.0,3082389.0,3036040001.0,Brownsville                                                                
Comprehensive,Retrofit,Design,,,Brooklyn North 1/4 District Garage,161 Varick Ave Brooklyn NY,,1351.01,11237.0,BROOKLYN ,40.711118,-73.92854799999999,1.0,34.0,449.0,3400387.0,3029620001.0,East Williamsburg                                                          
Lighting System Upgrade,Retrofit,Completed,5-Jul-11,30-Oct-11,Queens Borough Hall,120-55 Queens Blvd,DCAS,124.9,11415.0,QUEENS   ,40.713328999999995,-73.828601,9.0,29.0,216.0,4052812.0,4022740002.0,Kew Gardens                                                                
Energy Audit,None,Completed,16-Feb-11,17-Apr-12,P.S.39X,965 Longwood Avenue,DOE,76.78,10459.0,BRONX    ,40.817512,-73.898212,2.0,17.0,87.0,2005616.0,2027100001.0,Longwood                                                                   
HVAC System Upgrade,Retrofit,Install,20-Sep-10,,Metropolitan Museum of Art,1000 Fifth Avenue,DCLA,,10028.0,MANHATTAN,40.778633,-73.962546,64.0,6.0,143.0,1083810.0,1011110001.0,park-cemetery-etc-Manhattan                                                
Comprehensive,Retrofit,Design,,,P.S.111X Seton Falls School,3740 Baychester Avenue,DOE,125.56,10466.0,BRONX    ,40.884343,-73.840254,12.0,12.0,484.0,2065992.0,2049160001.0,Eastchester-Edenwald-Baychester                                            
Other,Retro-commissioning,Survey,,,P.S.131K,4305 Fort Hamilton Parkway,DOE,,11219.0,BROOKLYN ,40.641157,-73.993482,12.0,39.0,224.0,3136085.0,3056030001.0,Borough Park                                                               
Energy Audit,None,Completed,6-Oct-10,5-Aug-11,Randall's Island 5 Borough Complex,1 E 99th Street,DPR,379.19,,,,,,,,,,
Lighting System Upgrade,Retrofit,Design,,,New York Hall Of Science - 47-01 111th Street,47-00 111th Street,DCLA,98.31,11368.0,QUEENS   ,40.747393,-73.853564,4.0,21.0,415.0,,,Corona                                                                     
Other,Retro-commissioning,Proposed,,,5 Boro,1 Randalls Island,DPR,,10035.0,MANHATTAN,40.794834,-73.921697,11.0,8.0,240.0,1000000.0,1018190203.0,park-cemetery-etc-Manhattan                                                
HVAC System Upgrade,Retrofit,Substantially Completed,1-Mar-11,,City Center,131 West 55th Street,DCLA,631.14,10019.0,MANHATTAN,40.763607,-73.979496,5.0,4.0,137.0,1023391.0,1010080015.0,Midtown-Midtown South                                                      
Lighting System Upgrade,Retrofit,Completed,20-May-09,28-Jan-10,63rd Precinct,1844 BROOKLYN AVENUE,NYPD,12.31,11210.0,BROOKLYN ,40.628161999999996,-73.941357,18.0,45.0,740.0,3207376.0,3075990067.0,Flatlands                                                                  
HVAC System Upgrade,Retrofit,Install,1-Jul-09,,Carnegie Hall,881 7th Avenue,DCLA,308.71,10019.0,MANHATTAN,40.764941,-73.98044499999999,5.0,4.0,137.0,1023449.0,1010090001.0,Midtown-Midtown South                                                      
Lighting System Upgrade,Retrofit,Design,,,New Explorations into Science Technology and Math (NEST) High School,111 Columbia Street,DOE,87.93,10002.0,MANHATTAN,40.718895,-73.97930799999999,3.0,2.0,2201.0,1004070.0,1003350001.0,Lower East Side                                                            
Other,Retro-commissioning,Survey,,,P.S.78X Anne Hutchinson,1400 Needham Avenue,DOE,,10469.0,BRONX    ,40.878577,-73.851163,12.0,12.0,386.0,2060191.0,2047190001.0,Eastchester-Edenwald-Baychester                                            
Comprehensive,Retrofit,Install,6-Jan-12,,St. Mary's Rec Center,450 St. Ann's Avenue,DPR,267.33,10455.0,BRONX    ,40.811972,-73.914275,1.0,8.0,37.0,2003692.0,2025570001.0,Mott Haven-Port Morris                                                     
Lighting System Upgrade,Retrofit,Install,14-Aug-12,,K121 - P.S. 121 Nelson A. Rockefeller,5301 20th Avenue,DOE,37.05,11204.0,BROOKLYN ,40.623273,-73.978822,12.0,44.0,464.0,3253281.0,3054951101.0,Borough Park                                                               
Comprehensive,Retrofit,Design,,,J.H.S.125X Henry Hudson Middle School,1111 Pugsley Avenue,DOE,102.28,10472.0,BRONX    ,40.829232,-73.856734,9.0,18.0,4001.0,2025717.0,2037900040.0,Soundview-Bruckner                                                         
Energy Audit,None,Completed,,,Queens Supreme Court,88-11 Sutphin Blvd,DCAS,,11435.0,QUEENS   ,40.704623,-73.809151,12.0,24.0,238.0,4207071.0,4096910001.0,Jamaica                                                                    
Other,Retro-commissioning,Survey,10-Aug-12,10-Sep-12,K287- Bailey K. Ashford,50 Navy Street,DOE,0.0,11201.0,BROOKLYN ,40.697901,-73.98054,2.0,35.0,23.0,3000203.0,3001110001.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
Comprehensive,Retrofit,Design,,,PS 75M Emily Dickinson School,735 West End Avenue,DOE,,10025.0,MANHATTAN,40.795157,-73.973292,7.0,6.0,183.0,1034190.0,1012530065.0,Upper West Side                                                            
Energy Audit,None,In Progress,14-Aug-12,,K191 Paul Robeson,1600 Park Place,DOE,0.0,11233.0,BROOKLYN ,40.672005,-73.924329,8.0,41.0,359.0,3036635.0,3013750012.0,Crown Heights North                                                        
Lighting System Upgrade,Retrofit,Completed,1-Jul-09,8-Oct-09,I.S. 27R,15 Clove Alke Place,DOE,0.0,,,,,,,,,,
Lighting System Upgrade,Retrofit,Completed,5-Mar-09,18-Mar-10,Bureau Of Supplies,44-46 VERNON BOULEVARD,DOE,445.19,11101.0,QUEENS   ,40.749272,-73.95223,2.0,26.0,1.0,4005429.0,4004890001.0,Hunters Point-Sunnyside-West Maspeth                                       
Other,Photovoltaic,Substantially Completed,14-Dec-11,24-Feb-12,114th Precinct - Photovoltaic,34-16 Astoria Blvd,NYPD,15.77,11103.0,QUEENS   ,40.769581,-73.915593,1.0,22.0,6501.0,4009361.0,4006320030.0,Astoria                                                                    
Comprehensive,Retrofit,Design,,,"Kingsborough Community College, T-2 Building",2065 Oriental Blvd,CUNY,43.32,11235.0,BROOKLYN ,40.578106,-73.933388,15.0,48.0,616.0,3397338.0,3087600060.0,Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             
Energy Audit,None,Completed,,,84th Precinct & Engine Company 207,301 Gold St,DCAS,137.5,11201.0,BROOKLYN ,40.695446999999994,-73.983228,2.0,35.0,15.0,3000252.0,3001340006.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
Lighting System Upgrade,Retrofit,Install,21-Sep-12,,14K380 - 370 Marcy Avenue,370 Marcy Avenue,DOE,121.52,11206.0,BROOKLYN ,40.702427,-73.952985,1.0,33.0,531.0,3061235.0,3022360009.0,Bedford                                                                    
Other,Photovoltaic,Substantially Completed,31-Oct-11,22-Feb-12,Brooklyn South 14 - Photovoltaic,1397 Ralph Avenue,DSNY,22.52,11236.0,BROOKLYN ,40.642674,-73.919717,18.0,45.0,960.0,3221978.0,3079180145.0,Canarsie                                                                   
Other,Retro-commissioning,Survey,,,P.S.219Q Paul Klapper,144-39 Gravett Road,DOE,,11367.0,QUEENS   ,40.735275,-73.823778,8.0,24.0,809.0,4448708.0,4065070001.0,Kew Gardens Hills                                                          
Energy Audit,None,Completed,,,,235 E 21TH ST,NYPD,,10010.0,MANHATTAN,40.737173,-73.983174,6.0,2.0,64.0,1019642.0,1009020022.0,Gramercy                                                                   
Lighting System Upgrade,Retrofit,Completed,13-May-08,7-Oct-08,P.S. 205A/P.S. 205B (Fiorello Laguard)/P.S. 109X,2475 Southern Boulevard,DOE,64.17,10458.0,BRONX    ,40.855263,-73.881139,6.0,15.0,393.0,2086808.0,2031150021.0,Belmont                                                                    
Energy Audit,None,Completed,16-Mar-10,16-Dec-10,Park West High School,525 WEST 50TH STREET,DOE,106.04,10019.0,MANHATTAN,40.765184000000005,-73.992953,4.0,3.0,135.0,1083802.0,1010790029.0,Clinton                                                                    
Lighting System Upgrade,Retrofit,Substantially Completed,29-Aug-11,27-Aug-12,BMS/QMS Building,59-06 LAUREL HILL BLVD,NYPD,112.24,11377.0,QUEENS   ,40.736834,-73.906426,2.0,30.0,243.0,4054168.0,4023440030.0,Elmhurst-Maspeth                                                           
Lighting System Upgrade,Retrofit,Install,,,11X021 - 715 East 225th Street,715 East 225th Street,DOE,39.81,10466.0,BRONX    ,40.887582,-73.85973299999999,12.0,12.0,406.0,2063435.0,2048390039.0,Williamsbridge-Olinville                                                   
Lighting System Upgrade,Retrofit,Design,,,Studio Museum In Harlem - 144 West 125th Street,"144 West 125th Street  NY, NY  10027",DCLA,134.65,10027.0,MANHATTAN,40.808523,-73.947278,10.0,9.0,222.0,1057819.0,1019090009.0,Central Harlem South                                                       
Lighting System Upgrade,Retrofit,Completed,26-Jun-09,12-May-10,"Bklyn 8, Bklyn 7/10 District Garages","1760 Atlantic Ave, 1755 Pacific Street",DSNY,44.39,11213.0,BROOKLYN ,40.677494,-73.931969,8.0,36.0,309.0,3330693.0,3013360018.0,Crown Heights North                                                        
Energy Audit,None,Completed,20-Apr-11,4-Apr-12,Fashion Industries High School,225 West 24th St,DOE,29.57,10011.0,MANHATTAN,40.745156,-73.996074,4.0,3.0,91.0,1014174.0,1007740019.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
Lighting System Upgrade,Retrofit,Completed,24-Jul-09,13-May-10,3A,680  East 132nd Street,DSNY,22.22,10454.0,BRONX    ,40.801291,-73.916431,1.0,17.0,19.0,2003581.0,2025430060.0,Mott Haven-Port Morris                                                     
Lighting System Upgrade,Retrofit,Install,,,08X152 - 1007 Evergreen Avenue,1007 Evergreen Avenue,DOE,106.34,10472.0,BRONX    ,40.824054,-73.880039,9.0,17.0,52.0,2023336.0,2037110001.0,Soundview-Bruckner                                                         
Other,Retro-commissioning,Proposed,,,J.H.S.125X Henry Hudson Middle School,1111 Pugsley Avenue,DOE,,10472.0,BRONX    ,40.829232,-73.856734,9.0,18.0,4001.0,2025717.0,2037900040.0,Soundview-Bruckner                                                         
HVAC System Upgrade,Retrofit,Design,,,69th Precinct - 9720 Foster Avenue,9720 Foster Avenue,NYPD,64.56,11236.0,BROOKLYN ,40.648606,-73.90525600000001,18.0,42.0,1098.0,3229075.0,3081470026.0,East New York                                                              
HVAC System Upgrade,Retrofit,Completed,,1-Aug-12,Rikers Island Laundry Water Recycling System,8 hazen st east elmhurst,DOC,1834.84,,,,,,,,,,
Other,Retro-commissioning,Proposed,,,Fleet Services Shop,654 West 158th Street,,,10032.0,MANHATTAN,40.836,-73.947567,12.0,7.0,241.0,1087614.0,1021340218.0,Washington Heights South                                                   
Lighting System Upgrade,Retrofit,Completed,8-Apr-10,29-Sep-10,Bronx County Court - 851 Grand Concourse,E 161ST ST & GRAND CONCORSE BX COUNTY CT,DCAS,,,,,,,,,,,
Other,Retro-commissioning,Survey,,,I.S.238Q Susan B Anthony School,88-15 182nd Street,DOE,,11423.0,QUEENS   ,40.713094,-73.780468,12.0,27.0,470.0,4212425.0,4099190006.0,Jamaica                                                                    
Lighting System Upgrade,Retrofit,Completed,1-Mar-11,9-Aug-11,137 Centre Street,133-37 Centre Street,DCAS,71.03,10013.0,MANHATTAN,40.717036,-74.000747,1.0,1.0,31.0,1002358.0,1001970017.0,SoHo-TriBeCa-Civic Center-Little Italy                                     
Other,Retro-commissioning,Survey,,,J.H.S. 383 Philippa Schuyler,1300 Greene Avenue,DOE,,11237.0,BROOKLYN ,40.697781,-73.919777,4.0,37.0,431.0,3075413.0,3032980001.0,Bushwick North                                                             
Comprehensive,Retrofit,Design,12-Apr-11,,George R. Vierno Center,09-09 Hazen St,DOC,,11370.0,QUEENS   ,40.794577000000004,-73.884162,1.0,22.0,1.0,2096863.0,2026050040.0,Rikers Island                                                              
Other,Retro-commissioning,Survey,,,P.S.112X The Bronxwood School,1925 Schieffelin Avenue,DOE,,10466.0,BRONX    ,40.885008,-73.843193,12.0,12.0,458.0,2065991.0,2049050500.0,Eastchester-Edenwald-Baychester                                            
Lighting System Upgrade,Retrofit,Substantially Completed,17-Aug-11,5-Sep-12,Metropolitan Museum of Art,1000 Fifth Avenue,DCLA,,10028.0,MANHATTAN,40.778633,-73.962546,64.0,6.0,143.0,1083810.0,1011110001.0,park-cemetery-etc-Manhattan                                                
