,sampling_location,sample_date,sample_time,weather_condition_dry_or_wet,top_sample_temperature_c,site_actual_depth_ft,top_sample_depth_ft,top_salinity_psu,top_conductivity_s_m,ctd_conductivity_temperature_depth_profiler_top_dissolved_oxygen_mg_l,percentage_o2_saturation_top_sample,light_trans_transparency_top_sample,top_sigma_t_kg_m3,top_fluorometer_mg_m3,top_sample_par_ue_s_m2,oxidation_reduction_potential_mv_top_sample,current_speed_knot,current_direction_current_direction,wind_speed_mph,wind_direction_wind_direction,sea_state,winkler_method_top_dissolved_oxygen_mg_l,secchi_depth_ft,top_ph,top_fecal_coliform_bacteria_cells_100ml,top_enterococci_bacteria_cells_100ml,top_nitrate_nitrite_mg_l,top_ammonium_mg_l,top_ortho_phosphorus_mg_l,top_total_kjeldhal_nitrogen_mg_l,top_silica_mg_l,total_phosphorus_mg_l,top_total_suspended_solid_mg_l,top_active_chlorophyll_a_g_l,top_dissolved_organic_carbon_mg_l,long,lat,type,bottom_sample_temperature_c,bottom_salinity_psu,winkler_method_bottom_dissolved_oxygen_mg_l,top_total_coliform_cells_100_ml,top_bottom_coliform_cells_100_ml,top_five_day_biochemical_oxygen_demand_mg_l,bottom_five_day_biochemical_oxygen_demand_mg_l,oakwood_bod_top_sample_mg_l,oakwood_bod_bottom_sample_mg_l,bottom_sample_depth_ft,bottom_conductivity_s_m,ctd_conductivity_temperature_depth_profiler_bottom_dissolved_oxygen_mg_l,percentage_o2_saturation_bottom_sample,bottom_sigma_t_kg_m3,bottom_fluorometer_mg_m3,bottom_ph,bottom_fecal_coliform_bacteria_cells_100ml,enterococcus_top_sample_less_than_or_greater_than_result,enterococcus_bottom_sample_less_than_or_greater_than_result,bottom_enterococci_bacteria_cells_100ml,bottom_total_suspended_solid_mg_l,sampling_comment,top_pcb_plate_count_thous_ml,bottom_pcb_plate_count_thous_ml,oxidation_reduction_potential_mv_bottom_sample,light_trans_transparency_bottom_sample,ctd_conductivity_temperature_depth_profiler_ph_top_sample,ctd_conductivity_temperature_depth_profiler_ph_bottom_sample,top_sample_photosysthetically_active_radiation_reference_400_700nm_light_ue_s,duplicate_sample,bottom_sample_par_ue_s_ue_s_m2,bottom_silica_mg_l,top_sample_salinity_ysi_psu,top_sample_temperature_ysi_c,top_coliform_log_no_ml,bottom_coliform_log_no_ml,fecal_coliform_top_sample_less_than_or_greater_than_result,chlorophyll_top_sample_field_u_l_ysi,top_dissolved_organic_carbon_ysi_mg_l,bottom_dissolved_organic_carbon_ysi_mg_l,bottom_sample_salinity_ysi_psu,bottom_sample_temperature_ysi_c,top_bacteria_per_c_c_1909,bottom_bacteria_per_c_c_1909,top_turbidity_nephelometric_turbidity_units,top_total_organic_carbon_mg_l,chlorophyll_bottom_sample_field_u_l_ysi,bottom_turbidity_ysi_nephelometric_turbidity_units,fecal_coliform_bottom_sample_less_than_or_greater_than_result,bottom_nitrate_nitrite_mg_l,bottom_ammonium_mg_l,bottom_ortho_phosphorus_mg_l,bottom_total_phosphorus_mg_l,bottom_total_kjeldhal_nitrogen_mg_l,top_sample_depth_ysi_ft,bottom_depth_ysi_ft,bottom_active_chlorophyll_a_g_l
754,E15,2011-09-12T00:00:00.000,12:57 PM,Dry,22.86,17.7,3.0,18.2,2.82,4.29,55.54,63.47,11.28,30.4542,163.67,75.273,,,,,,4.23,2.5,7.06,450,15,0.366,0.454,0.156,0.878,2.94,0.199,8.0,2.3,3.3,-73.8495,40.763,Permanent,22.21,19.44,4.99,,,,,,,16.0,2.95,3.32,42.81,12.38,28.4641,7.1,,,,,12.0,,,,69.791,59.33,8.34,8.27,2014.1,,2.66,,,,,,,,,,,,,,,,,,,,,,,,,,
755,x271_1912_DO,1912-09-13T00:00:00.000,9:30 AM,,,,,,,,,,,,,,,Flood,,,,,,,,,,,,,,,,,,-74.019444,40.704444,Permanent,21.1,,3.2,,,,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
756,TNM,1968-07-15T00:00:00.000,5:05 PM,,19.4,,,26.6,,,,,,,,,,W,,,,6.1,,,,,,,,,,,,,,-73.79157,40.79928,Permanent,18.9,26.6,4.8,4600,7900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
757,E7,2006-06-05T00:00:00.000,11:50 AM,Wet,17.41,45.0,5.0,22.2,3.01,5.62,67.11,,15.63,,,218.882,0.5,W,LT,AIRS,1,6.54,6.0,7.55,225,12,0.224,0.448,0.091,1.17,0.702,0.132,5.0,3.33,3.2,-73.8205,40.805,Permanent,15.75,23.96,6.6,,,,,,,55.0,3.1,6.07,70.84,17.33,,7.47,,,,,20.0,,,,217.855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
758,K5A,1996-06-19T00:00:00.000,1:05 PM,,,27.0,,,,,,,,,,,,S,27,E,3,7.37,3.0,7.47,3,,0.351,0.523,0.106,1.65,,0.189,26.0,53.4,,-74.245833,40.4845,Permanent,,,6.89,60,20,3.7,3.1,,,,,,,,,7.56,1.0,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
759,N8,1980-07-15T00:00:00.000,8:58 AM,,22.8,,,28.3,,,,,,,,,,N,,,,4.1,,,,,,,,,,,,,,-74.0455,40.606167,Permanent,20.6,31.5,5.4,11000,9300,,,1.7,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
760,N8,1980-07-15T00:00:00.000,8:58 AM,,22.8,,,28.3,,,,,,,,,,N,,,,4.1,,,,,,,,,,,,,,-74.0455,40.606167,Permanent,20.6,31.5,5.4,11000,9300,,,1.7,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
761,J3,2016-08-09T00:00:00.000,1:02 PM,Dry,26.32,31.0,3.0,28.41,4.5,9.5,138.3,44.3,17.97,28.07,,262.85,WEAK,E,11.0,S,1,7.24,2.0,7.97,20,2,0.054,0.092,,0.536,0.543,0.185,11.0,35.6,3.15,-73.882833,40.627,Permanent,25.34,28.76,6.41,,,,,,,29.0,4.5,5.89,84.5,18.54,13.64,7.9,,E,,,9.0,Brownish water,,,263.17,60.6,8.09,7.82,,,,0.657,,,,,E,,,,,,,,,,,,,,,,,,,,
762,J7,1953-08-13T00:00:00.000,12:50 PM,,26.1,28.0,,27.3,,,,,,,,,,S,,,,7.4,,,,,,,,,,,,,,-73.820833,40.645333,Permanent,24.4,27.3,4.0,3,4,6.0,2.0,,,,,,,,,,,,,,,,0.001,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
763,J10,1996-09-09T00:00:00.000,12:27 PM,,25.28,23.0,3.28,24.76,3.91,6.79,95.26,39.9,15.54,71.12,3.75,,,S,5,S,1,7.16,2.5,,,,0.274,0.608,0.163,1.85,,0.357,44.0,70.8,,-73.894721,40.621667,Permanent,24.5,26.55,4.65,,,8.0,1.4,,,19.68,4.1,3.87,54.19,17.12,24.82,,,,,,24.0,,,,,68.72,,,9.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
764,K1,1966-08-09T00:00:00.000,9:18 AM,,22.2,35.0,,25.9,,,,,,,,,,W,,,,3.6,,,,,,,,,,,,,,-74.081945,40.651112,Permanent,22.2,25.9,4.2,790,490,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
765,E5,1958-08-11T00:00:00.000,11:20 AM,,22.2,66.0,,27.3,,,,,,,,,,S,,,,2.4,,,,,,,,,,,,,,-73.886111,40.800833,Permanent,21.1,27.65,2.7,240,120,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
766,x1538_1911_DO,1911-09-26T00:00:00.000,2:41 PM,,,,,,,,,,,,,,,Ebb,,,,,,,,,,,,,,,,,,-74.042778,40.6075,Permanent,20,,4.48,,,,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
767,N3B,1959-08-05T00:00:00.000,11:00 AM,,21.7,65.0,,23.1,,,,,,,,,,N,,,,2.9,,,,,,,,,,,,,,-73.965333,40.820833,Permanent,21.1,24.15,2.2,240,1100,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
768,J2,2009-08-27T00:00:00.000,11:36 AM,Dry,25.46,37.0,3.0,27.07,4.26,7.47,106.51,,17.22,68.4293,51.58,151.74,0.5,S,2,NE,1,7.21,2.5,7.95,13,4,0.066,0.106,,1.34,0.427,0.222,8.8,83.3,3.9,-73.885835,40.608055,Permanent,25.4,27.39,7.22,,,,,,,28.0,4.3,7.01,100.11,17.49,66.4904,7.96,,,,,9.8,,,,155.281,,8.98,8.93,1103.2,,0.0,,,,,,E,,,,,,,,,,,,,,,,,,,,
769,N3B,2007-03-19T00:00:00.000,3:24 PM,Wet,2.18,68.0,3.0,6.28,0.64,9.44,71.65,,5.01,,,164.028,1.9,SW,11,SW,2,13.79,1.0,7.64,52,32,0.651,0.25,0.044,1.2,4.46,0.12,26.0,1.43,3.66,-73.965333,40.820833,Permanent,2.31,11.7,13.13,,,,,,,54.0,1.14,9.97,78.73,9.35,,7.65,,,,,106.0,,,,165.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
770,E1,1940-08-01T00:00:00.000,9:15 AM,,23.3,41.0,,23.45,,,,,,,,,,,,,,2.85,,,,,,,,,,,,,,-74.006548,40.7,Permanent,22.8,25.2,3.22,,,,,,,,,,,,,,,,,,,,0.935,0.185,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,
771,MVM,1970-08-10T00:00:00.000,5:05 PM,,25.6,,,13.4,,,,,,,,,,SL,,,,8.0,,,,,,,,,,,,,,-73.918217,40.917636,Permanent,23.9,20.1,2.5,35000,4900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
772,N3,1959-06-10T00:00:00.000,11:10 AM,,22.8,46.0,,12.6,,,,,,,,,,N,,,,3.7,,,,,,,,,,,,,,-73.954182,40.836396,Permanent,21.7,17.85,2.7,23,93,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
773,H3,1956-09-12T00:00:00.000,12:00 PM,,21.7,15.0,,25.2,,,,,,,,,,S,,,,1.2,,,,,,,,,,,,,,-73.933833,40.828,Permanent,21.7,25.2,1.4,240,93,4.0,1.0,,,,,,,,,,,,,,,,0.087,0.147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
774,N5,2012-12-26T00:00:00.000,4:12 PM,Dry,5.82,50.0,3.0,10.26,1.11,9.89,84.68,35.31,8.07,4.285,5.11,125.002,0.4,N,13,NE,1,11.11,,7.65,144,74,0.437,0.181,,0.544,4.37,0.123,9.0,1.4,3.2,-74.03,40.7045,Permanent,8.37,27.41,9.78,,,,,,,56.0,2.93,8.23,83.7,21.27,5.8367,7.76,,,,,21.0,no sechi too dark,,,131.463,33.58,,,330.32,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
775,E14,1997-08-19T00:00:00.000,10:51 AM,,22.91,26.0,3.28,24.41,3.68,2.79,37.5,66.13,15.95,2.11,4.99,,,E,6,N,1,3.58,3.0,7.27,62,,0.331,0.508,0.23,1.02,,0.189,8.0,5.9,,-73.8645,40.800833,Permanent,22.87,24.38,3.27,,,,,,,22.96,3.68,2.85,38.26,15.94,2.13,7.21,110.0,,,,19.0,,,,,60.71,,,4.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
776,N8,1982-07-06T00:00:00.000,1:20 PM,,22.2,,,22.2,,,,,,,,,,S,,,,6.5,,,,,,,,,,,,,,-74.0455,40.606167,Permanent,18.9,26.4,6.4,,,,,2.6,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
777,N8,1982-07-06T00:00:00.000,1:20 PM,,22.2,,,22.2,,,,,,,,,,S,,,,6.5,,,,,,,,,,,,,,-74.0455,40.606167,Permanent,18.9,26.4,6.4,,,,,2.6,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
778,H5,1950-08-09T00:00:00.000,1:25 PM,,23.9,22.0,,26.25,,,,,,,,,,N,,,,0.9,,,,,,,,,,,,,,-73.935832,40.787777,Permanent,23.3,27.65,1.1,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,,,,,,,,,,,,,,,,,,,,,
779,X108,1922-06-13T00:00:00.000,5:15 PM,,22.2,,,10.85,,,,,,,,,,N,,,,2.38,,,,,,,,,,,,,,-73.929076,40.845941,Permanent,21.7,10.85,2.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
780,H1,1944-08-23T00:00:00.000,,,25.0,20.0,,16.1,,,,,,,,,,,,,,2.57,,,,,,,,,,,,,,-73.923884,40.878055,Permanent,25,16.1,2.57,,,2.0,2.0,,,,,,,,,,,,,,,,0.6,0.7,,,,,,,,,,,3.0,2.0,,,,,,,,,,,,,,,,,,,,,
781,SP1,2013-08-26T00:00:00.000,,Dry,,,,,,,,,,,,,,,,,,,,,10,2,0.278,1.04,0.19,1.665,1.4,0.27,12.0,15.6,4.3,-73.860294,40.655069,Permanent,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,
782,N8,2007-03-21T00:00:00.000,12:20 PM,Dry,3.8,91.0,5.0,23.3,2.24,9.47,84.0,,18.5,,,144.757,0.5,S,10,S,1,11.19,6.0,7.97,4,3,0.248,0.198,0.03,1.17,0.982,0.067,8.8,10.75,3.11,-74.0455,40.606167,Permanent,4.05,29.28,10.85,,,,,,,90.0,2.77,9.24,85.81,23.23,,8.01,,,,,4.2,,,,145.904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
783,K6,1998-07-29T00:00:00.000,1:02 PM,,23.49,20.0,3.28,26.1,3.96,6.76,92.62,46.68,17.06,,4.19,,,E,11,SW,2,13.57,3.5,8.75,1,,0.017,0.005,,1.03,0.248,0.168,6.0,67.2,,-74.100833,40.510333,Permanent,21.99,26.74,9.6,,,,,,,19.68,3.93,7.06,94.56,17.96,,8.37,1.0,,,,6.0,,,,,65.79,,,7.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,
784,N7,1921-09-07T00:00:00.000,10:15 AM,,23.0,47.0,,25.9,,,,,,,,,,S,,,,0.67,,,,,,,,,,,,,,-74.053833,40.643833,Permanent,23,30.1,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
785,GC4,2005-06-23T00:00:00.000,10:43 AM,Dry,,12.0,,,,,,,,,,,,,,,,,6.0,,216,42,0.352,0.424,0.118,0.804,1.4,0.174,13.0,1.02,,-73.989073,40.678034,Permanent,,,,,,,,,,,,,,,,,196.0,,,136.0,14.5,,,,,,,,,,,1.31,21.22,13.23,,,,0.3,4.97,2.66,21.55,19.06,,,14.1,,0.6,22.3,,0.306,0.398,0.104,0.204,0.9,,,0.97
786,N6,2016-10-25T00:00:00.000,10:39 AM,Dry,16.83,51.0,3.0,24.69,3.3,6.71,80.4,76.4,17.65,1.32,397.0,237.81,2.3,S,16.0,W,1,6.99,4.0,7.8,32,8,0.552,0.408,,0.619,1.82,0.159,11.0,1.78,2.63,-74.051333,40.664667,Permanent,17.04,28.03,6.86,,,,,,,47.0,3.7,6.5,79.8,20.17,1.14,7.83,,,,,12.0,,,,247.29,75.5,8.05,8.14,817.0,,0.0,1.507,,,,,E,,,,,,,,,,,,,,,,,,,,
787,NH,1968-08-01T00:00:00.000,12:00 PM,,22.2,,,25.3,,,,,,,,,,N,,,,5.8,,,,,,,,,,,,,,-74.038021,40.609818,Permanent,22.2,25.3,5.3,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
788,J5,1993-11-04T00:00:00.000,1:09 PM,,,18.0,,,,,,,,,,,,W,,,,8.41,10.0,7.79,,,0.72,0.8,0.12,,,0.15,,2.4,,-73.809,40.597667,Permanent,,,8.27,,,,,,,,,,,,,7.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
789,N5,1963-06-19T00:00:00.000,10:15 AM,,20.0,49.0,,26.25,,,,,,,,,,S,,,,1.8,,,,,,,,,,,,,,-74.03,40.7045,Permanent,18.9,30.45,3.1,240,460,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
790,N7,1969-06-19T00:00:00.000,9:25 AM,,19.4,,,20.0,,,,,,,,,,N,,,,5.9,,,,,,,,,,,,,,-74.053833,40.643833,Permanent,19.4,20.7,4.5,170000,110000,,,2.4,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
791,x1160_1913_DO,1913-07-18T00:00:00.000,12:33 PM,,,,,,,,,,,,,,,Ebb,,,,20.8,,,,,,,,,,,,,,-74.0,40.699167,Permanent,15,,2.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
792,K1,2014-04-02T00:00:00.000,3:44 PM,Dry,5.42,50.0,5.0,13.77,1.44,18.01,156.23,,10.86,3.378,,,1,E,2,E,1,11.18,2.5,7.65,68,52,0.562,0.396,,1.207,2.46,0.085,21.0,6.2,3.2,-74.081945,40.651112,Permanent,4.93,19.5,11.52,,,,,,,42.0,1.96,11.17,99.42,15.42,11.8336,7.72,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
793,N7,1952-09-09T00:00:00.000,9:15 AM,,20.6,47.0,,22.4,,,,,,,,,,N,,,,2.2,,,,,,,,,,,,,,-74.053833,40.643833,Permanent,21.7,23.45,2.4,,,0.0,0.0,,,,,,,,,,,,,,,,0.34,0.16,,,,,,,,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,
794,FLC1,2014-07-21T00:00:00.000,12:10 PM,Dry,22.94,11.0,3.0,21.89,3.34,4.8,63.44,51.49,14.04,17.0436,2977.0,113.721,weak,N,calm,,1,5.16,2.0,7.33,"2,200",27,0.117,0.264,0.093,1.336,3.33,0.309,12.0,52.6,3.76,-73.836667,40.762167,Permanent,22.32,23.21,5.73,,,,,,,8.0,3.48,4.46,58.66,15.2,22.3454,7.35,,,,,7.0,,,,144.583,51.65,,,2083.5,,258.15,3.29,,,,,,,,,,,,,,,,,,,,,,,,,
795,N7,1918-07-17T00:00:00.000,12:55 PM,,21.0,47.0,,21.35,,,,,,,,,,FL,,,,4.19,,,,,,,,,,,,,,-74.053833,40.643833,Permanent,20,27.65,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
796,N1,2004-05-24T00:00:00.000,11:23 AM,Dry,19.61,45.0,4.0,5.93,0.94,,67.07,,2.79,,,,0.6,S,7,E,1,8.24,2.5,7.47,45,2,0.5,0.09,0.046,0.74,3.22,0.072,1.2,5.48,3.53,-73.916167,40.9145,Permanent,16.89,17.64,6.14,,,,,,,43.0,2.41,,59.64,12.26,,7.42,,,,,21.0,,,,,,,,,,,,,,,,,3.76,5.92,5.19,,,,,,,,,,,,,,,,,
797,J9A,2004-06-29T00:00:00.000,2:25 PM,Wet,21.86,20.0,4.0,24.52,3.62,,83.85,,16.31,,,,1,E,7,NW,1,9.46,3.0,8.48,184,2,0.113,0.092,0.142,1.2,0.46,0.296,98.4,72.64,,-73.873667,40.633833,Permanent,21.36,25.1,8.36,,,,,,,24.0,3.66,,87.9,16.88,,8.53,,,,,7.6,,,,,,,,,,,,,,,,,40.8,6.36,6.71,,,,,,,,,,,,,,,,,
798,H4,1936-08-03T00:00:00.000,12:30 PM,,25.0,20.0,,25.2,,,,,,,,,,N,,,,0.0,,,,,,,,,,,,,,-73.929168,40.803613,Permanent,25,25.9,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
799,N5B,1968-09-04T00:00:00.000,10:15 AM,,21.7,,,27.3,,,,,,,,,,S,,,,4.6,,,,,,,,,,,,,,-74.01997,40.693126,Permanent,21.7,27.3,3.5,70000,47000,,,2.8,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,F1,2014-07-01T00:00:00.000,12:00 PM,Dry,,14.0,,,,,,,,,,,,,0~5,S,1,,,8.02,192,4,0.152,0.121,0.274,0.695,2.21,0.309,14.0,48.2,4.21,-73.884133,40.643147,Permanent,,,,,,,,,,,,,,,,,,E,,,,No Turbidity probe.,,,,,,,,,,,26.16,25.75,,,,37.66,8.41,,,,,,,,,,,,,,,,,,
801,J7,1996-06-26T00:00:00.000,1:34 PM,,22.57,28.0,3.28,24.16,3.62,6.6,87.96,55.98,15.85,53.63,4.87,,,E,15,N,2,7.86,3.0,7.79,388,,0.207,1.54,0.285,3.04,,0.43,12.0,69.3,,-73.820833,40.645333,Permanent,22.17,24.49,6.13,16000,1100,5.5,2.9,,,26.24,3.64,5.25,69.66,16.21,48.68,7.71,31.0,,,,16.0,,,,,61.46,,,5.8,,,,,,,,,,,,,,,,6.6,,,3.7,,,,,,,,,
802,N5,1928-08-08T00:00:00.000,10:15 AM,,23.9,49.0,,12.25,,,,,,,,,,S,,,,2.36,,,,,,,,,,,,,,-74.03,40.7045,Permanent,22.8,20.3,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
803,N1,2012-11-10T00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.916167,40.9145,Permanent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
804,E7,1999-10-05T00:00:00.000,12:50 PM,,19.65,35.0,3.28,25.38,35.65,7.82,99.37,69.85,17.53,,,,,SW,7,NE,1,6.82,7.0,6.61,,,,,,,,,,,,-73.8205,40.805,Permanent,19.56,25.9,7.04,,,,,,,42.64,36.24,10.01,127.51,17.95,,6.69,,,,,,,,,,69.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
805,K1,2008-09-17T00:00:00.000,12:00 PM,Dry,21.63,48.0,4.0,23.67,3.49,4.89,63.9,,15.73,3.2398,99.52,,0.1,E,7,N,1,6.39,3.5,7.3,4,1,0.366,0.404,0.139,2.33,1.62,0.182,19.2,1.97,3.9,-74.081945,40.651112,Permanent,20.79,26.56,6.31,,,,,,,36.0,3.81,5.08,66.47,18.13,3.6931,7.41,,,,,22.8,,,,,,,,1442.45,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
806,N5,1990-11-13T00:00:00.000,3:04 PM,,11.0,57.0,,6.2,,,,,,,,,,S,,,,9.2,1.5,,,,0.45,0.16,0.061,,,0.13,,,,-74.03,40.7045,Permanent,13,14.5,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
807,J1,2006-08-01T00:00:00.000,11:14 AM,Dry,23.22,35.0,4.0,27.67,4.15,6.12,84.19,,18.32,,,89.1,1.3,E,7,W,1,6.99,6.0,8.32,7,1,0.074,0.153,0.067,1.15,0.339,0.134,12.25,19.95,3.21,-73.884667,40.573333,Permanent,23.07,27.91,6.6,,,,,,,34.0,4.17,5.37,73.78,18.55,,8.34,,,,,0.75,,,,91.515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
808,J2,2002-06-11T00:00:00.000,1:26 PM,Dry,,33.0,,,,,,,,,,,,S,8,S,1,11.67,2.0,8.6,20,19,0.008,0.017,0.046,2.02,0.3,0.272,30.0,115.0,2.81,-73.885835,40.608055,Permanent,,,11.16,,,,,,,,,,,,,8.57,,,,,34.8,,,,,,,,,,,,31.7,21.4,,,,,,,31.5,21.1,,,,,,,,,,,,,,,
809,CIC2,2016-07-20T00:00:00.000,10:37 AM,Wet,,9.6,,,,,,,,,,,,,,,,,,7.46,"29,000",80,0.2,0.296,0.089,0.897,1.922,0.152,5.0,26.4,2.9,-73.985642,40.581667,Permanent,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,27.4,23.75,,,,2.24,5.05,,,,,,2.16,,,,,,,,,,,,
810,K6,1945-08-21T00:00:00.000,1:55 PM,,25.56,18.0,,24.15,,,,,,,,,,SL,,,,11.0,,,,,,,,,,,,,,-74.100833,40.510333,Permanent,24.44,24.5,8.1,,,6.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
811,N4,2013-09-03T00:00:00.000,5:15 PM,Dry,24.93,44.0,3.0,12.1,2.03,7.38,95.65,7.94,6.14,18.8653,892.81,,0.3,S,6,SW,1,7.69,,8.13,108,12,0.236,0.228,,0.675,2.67,0.069,5.0,2.6,4.32,-74.005833,40.7645,Permanent,22.68,23,5.61,,,,,,,39.0,3.47,4.85,64.16,14.95,12.6179,7.68,,,,,15.0,no secchi readings disk detached from rope,,,,5.01,,,756.42,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
812,x735_1909_DO,1909-09-21T00:00:00.000,11:45 AM,,19.0,,1.0,,,,,,,,,,,Flood,,,,6.07,,,,,,,,,,,,,,-74.018056,40.508333,Permanent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
813,J10,1993-12-15T00:00:00.000,11:38 AM,,,22.0,,,,,,,,,,,,W,,,,11.25,8.0,7.93,,,0.46,0.57,0.078,,,0.12,6.0,13.3,,-73.894721,40.621667,Permanent,,,12.21,,,,,1.8,2.1,,,,,,,7.93,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
814,E11,2009-09-08T00:00:00.000,10:46 AM,Dry,22.32,8.0,3.0,24.11,3.6,6.98,92.59,,15.88,30.573,99.9,118.764,0.8,S,4,NE,1,8.61,2.5,7.74,26,1,0.225,0.026,0.098,1.11,2.66,0.19,6.4,54.9,4.6,-73.763333,40.7875,Permanent,,,,,,,,,,,,,,,,,,<,,,,,,,,,8.67,,1419.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
815,J3,1988-06-16T00:00:00.000,2:10 PM,,22.1,31.0,,26.4,,,,,,,,,,W,,,,13.6,,8.53,,,,,,,,,,,,-73.882833,40.627,Permanent,20,27.4,10.8,110,130,,,7.6,6.4,,,,,,,8.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
816,E5B,2004-07-26T00:00:00.000,12:26 PM,Wet,21.4,30.0,5.0,22.27,3.29,,29.0,83.48,14.73,,,,1.7,W,9,E,1,3.04,8.0,7.19,124,8,0.265,0.57,,1.46,2.15,0.244,3.2,1.49,3.11,-73.894015,40.79237,Permanent,21.23,22.35,2.95,,,,,,,34.0,3.29,,26.05,14.84,,7.21,,,,,11.4,,,,,78.13,,,,,,,,,,,,0.2,2.25,2.02,,,,,,,,,,,,,,,,,
817,E10,1992-09-01T00:00:00.000,11:41 AM,,,88.0,,,,,,,,,,,,E,,,,5.03,5.0,,,,,,,,,,,,,-73.765333,40.843667,Permanent,,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
