,organizationname,brooklyn,bronx,manhattan,queens,staten_island,fax,phone,aging,anti_discrimination_human_rights,arts_culture,business,child_care_parent_information,community_service_volunteerism,counseling_support_groups,disabilities,domestic_violence,education,employment_job_training,health,homelessness,housing,immigration,legal_services,lesbian_gay_bisexual_and_or_transgender,personal_finance_financial_education,professional_association,veterans_military_families,victim_services,youth_services,faith_based_organization,foundation,is_registered_with_the_attorney_general_s_office,new_york_city_agency,none_of_the_above,nonprofit,other_government_organization,published,address1,city,nourl,postcode,url,description,location_1,borough,latitude,longitude,community_board,community_council,census_tract,bin,bbl,nta,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,outsideloc,address2,outsidelocdesc
746,Policewomen's Endowment Association,Y,N,N,N,N,,6466105113.0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,Published,7825 Fifth Avenue,Brooklyn,N,11209.0,http://www.nypdpea.org/home.htm,,"{'latitude': '40.627008', 'longitude': '-74.02364'}",BROOKLYN ,40.627008,-74.02364,10.0,43.0,136.0,3150391.0,3059710001.0,Bay Ridge                                                                  ,17216.0,10.0,2.0,44.0,41.0,N,,
747,St. Raymond Community Outreach,N,Y,N,N,N,,,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Published,1720 Metropolitan Avenue,Bronx,N,10462.0,,,"{'latitude': '40.840657', 'longitude': '-73.85368'}",BRONX    ,40.840657,-73.85368,9.0,18.0,222.0,2041258.0,2039580010.0,Parkchester                                                                ,11271.0,58.0,5.0,31.0,26.0,,,
748,Cornell Cooperative Extension,N,N,Y,N,N,2123402908.0,2123402995.0,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,"16 East 34 Street, 8th Floor",New York,N,10016.0,http://nyc.cce.cornell.edu,"Help New York City residents of all ages make informed decisions related to food and nutrition, health, resource management, food safety, parenting, and health care through efforts that include:

Hands-on nutrition education for limited resource youth, caregivers of young children, adults, and seniors

Programs in nutrition and health, disease prevention, health promotion; Farmer's Market Nutrition Program initiatives; ""train the trainer"" nutrition education programs

Nutrition education, breastfeeding promotion and parenting education for pregnant/parenting adolescents and women","{'latitude': '40.748147', 'longitude': '-73.983889'}",MANHATTAN,40.748147,-73.983889,5.0,4.0,74.0,1017077.0,1008630013.0,Midtown-Midtown South                                                      ,12078.0,11.0,4.0,51.0,8.0,N,,
749,Rockaway Development & Revitalization Corporation,N,N,N,Y,N,,7183275300.0,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,Published,"1920 Mott Avenue, 2nd Fl",Far Rockaway,N,11691.0,,,"{'latitude': '40.603907', 'longitude': '-73.752262'}",QUEENS   ,40.603907,-73.752262,14.0,31.0,103202.0,4457760.0,4155590012.0,Far Rockaway-Bayswater                                                     ,20529.0,51.0,3.0,47.0,59.0,N,,
750,Associated Blind,N,N,Y,N,N,,2126834950.0,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,"315 5th Avenue, Suite 807",New York,N,,http://www.tabinc.org/,"The Associated Blind, Inc. (TAB), a not-for-profit corporation whose programs empower individuals who are blind or visually impaired to lead productive and independent lives by gaining employment and furthering their careers. TAB, which will be acquired by Lighthouse International through this transaction, delivers services through the use of adaptive technology and the programs and virtual community offered by eSight.",,,,,,,,,,,,,,,,N,,
751,Chinese American Planning Council,N,N,Y,N,N,,2129410920.0,Y,N,N,N,Y,N,N,N,N,Y,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Published,150 Elizabeth Street,New York,N,10012.0,http://www.cpc-ny.org/,"The Chinese-American Planning Council, then known as the Chinatown Planning Council, was founded in 1965 as a grassroots community-based organization in response to the tremendous influx of Chinese immigrants after the change in immigration laws, and in the midst of the Great Society movement. Initially, CPC volunteers counseled families referred by local schools, and provided case management services to help immigrants adjust to their new homes. Filling a void in the community as the first social service agency to serve Chinese-Americans in New York, CPC began to expand its services based on the needs expressed by those in the community.","{'latitude': '40.7203', 'longitude': '-73.995083'}",MANHATTAN,40.7203,-73.995083,2.0,1.0,41.0,1088390.0,1004787501.0,SoHo-TriBeCa-Civic Center-Little Italy                                     ,12075.0,57.0,4.0,32.0,2.0,N,,
752,Ackerman Institute for the Family,N,N,Y,N,N,2127440206.0,2128794900.0,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,149 East 78th Street,New York,N,10021.0,http://www.ackerman.org,"For almost half a century the Ackerman Institute for the Family has played a leading role in developing and disseminating major research and training programs in family therapy while also providing a broad array of clinical services. Ackerman is not only one of the premier family therapy institutes in New York City, but also has a major impact on family therapy across the country and around the world.","{'latitude': '40.774106', 'longitude': '-73.95896'}",MANHATTAN,40.774106,-73.95896,8.0,4.0,140.0,1089818.0,1014137503.0,Upper East Side-Carnegie Hill                                              ,10092.0,23.0,4.0,51.0,11.0,N,,
753,American Lyme Disease Foundation,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,P. O. Box 466,Lyme,N,6371.0,http://www.aldf.com,"The American Lyme Disease Foundation, Inc. is dedicated to the prevention, diagnosis and treatment of Lyme disease and other tick-borne infections. 

The Foundation plays a key role in providing reliable and scientifically accurate information to the public, medical community and government agencies about tick-borne diseases and their effects on human health and quality of life.",,,,,,,,,,,,,,,,Y,,Connecticut
754,Pratt Institute Center for Community Development (PICCED),Y,N,N,N,N,,7186363486.0,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,379 DeKalb Avenue,New York,N,11205.0,http://prattcenter.net,,"{'latitude': '40.690074', 'longitude': '-73.962747'}",BROOKLYN ,40.690074,-73.962747,2.0,35.0,193.0,3334965.0,3019210064.0,Clinton Hill                                                               ,17212.0,68.0,2.0,48.0,55.0,,,
755,"Center for Battered Women's Legal Services, Sanctuary for Families",Y,Y,Y,Y,Y,,2123496009.0,N,N,N,N,N,N,Y,N,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,"105 Chambers St., Suite 5A",New York,N,10007.0,http://www.sanctuaryforfamilies.org/legalservices.htm,"Since 1984, Sanctuary for Families has been a haven for abused women and their children. It's a place where victims of domestic violence can find safety, counseling, advocacy, legal assistance, and shelter. At the Center, women can receive skilled, caring, culturally sensitive legal assistance for protection, support, custody of children, or for legal immigration status.","{'latitude': '40.715049', 'longitude': '-74.008185'}",MANHATTAN,40.715049,-74.008185,1.0,1.0,21.0,1001591.0,1001457501.0,SoHo-TriBeCa-Civic Center-Little Italy                                     ,12076.0,56.0,4.0,32.0,1.0,N,,
756,Domestic and Other Violent Emergencies Program (DOVE),N,N,Y,N,N,,2123059060.0,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,Published,525 E 68th St Box 156,New York,N,10021.0,,"Provides crisis information, short-term counseling, and advocacy for victims of sexual assault, domestic violence, and other violent crimes, including terrorism. 24 hour emergency room support for survivors of sexual assault and domestic violence with specially trained volunteers. Provides support groups and community education on sexual assault and domestic violence. All services free of charge. Spanish spoken.","{'latitude': '40.764149', 'longitude': '-73.955251'}",MANHATTAN,40.764149,-73.955251,8.0,5.0,116.0,1084781.0,1014800001.0,Lenox Hill-Roosevelt Island                                                ,10090.0,23.0,4.0,1.0,11.0,N,,
757,"Partnership with Children, Inc.",N,N,Y,N,N,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Published,220 E. 23rd St. Suite 500,New York,N,10010.0,,,"{'latitude': '40.738548', 'longitude': '-73.982495'}",MANHATTAN,40.738548,-73.982495,6.0,2.0,64.0,1088660.0,1009030047.0,Gramercy                                                                   ,12073.0,71.0,4.0,50.0,7.0,,,
758,Disabled and Alone Life Services for the Handicapped,N,N,Y,N,N,,8009950066.0,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,61 Broadway Suite 510,New York,N,10006.0,http://www.disabledandalone.org/,Life Planning for a Handicapped Family Member.  Life Services is a non-profit organization established to help families provide a secure future for their loved ones with a disability.,"{'latitude': '40.706995', 'longitude': '-74.012335'}",MANHATTAN,40.706995,-74.012335,1.0,1.0,13.0,1000808.0,1000210001.0,Battery Park City-Lower Manhattan                                          ,11727.0,56.0,4.0,32.0,1.0,,,
759,Korean Youth Center of New York,Y,Y,Y,Y,Y,7183212525.0,7183211010.0,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Published,35-34 Union Street,Flushing,N,11354.0,,,"{'latitude': '40.76485', 'longitude': '-73.827974'}",QUEENS   ,40.76485,-73.827974,7.0,20.0,869.0,4311698.0,4049610030.0,Flushing                                                                   ,13832.0,22.0,3.0,3.0,67.0,,,
760,Lilith Magazine,N,N,Y,N,N,,2127570818.0,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,"250 West 57th Street, Suite 2432",New York,N,10107.0,http://www.lilithmag.com,"LILITH is your link between feminism and Jewish life. Publishing since 1976 (!) the magazine brings you information about stuff you've probably had tickling the edges of your consciousness but never read about in a magazine before: New rituals and celebrations for a wedding ceremony, for childbirth, for turning 12, or 20, or 60. Feminist additions to your Passover seder and a new prayerbook for everyday. Role models you've never met before. Foremothers. Jewish hair (YES!). What's different about Jewish women's attitudes to food. Reviews of books, plays, films, music and videos. The best new poetry and fiction. Pages of resource listings in every issue - where to go for what if you're Jewish and female.","{'latitude': '40.766391', 'longitude': '-73.982119'}",MANHATTAN,40.766391,-73.982119,5.0,3.0,137.0,1024899.0,1010280056.0,Midtown-Midtown South                                                      ,12081.0,11.0,4.0,10.0,10.0,,,
761,School Settlement Associaton,Y,N,N,N,N,,7183891810.0,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,120 Jackson Street,Brooklyn,Y,11211.0,,,"{'latitude': '40.71645', 'longitude': '-73.946734'}",BROOKLYN ,40.71645,-73.946734,1.0,34.0,501.0,3068417.0,3027480021.0,East Williamsburg                                                          ,17613.0,36.0,2.0,30.0,57.0,,,
762,Alternatives to Violence Project,Y,N,Y,N,Y,3158648210.0,3158648210.0,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,P.O. Box 353,Kings Ferry,N,13081.0,http://www.avpusa.org/,:  AVP/USA is an association of community based groups and prison based groups offering experiential workshops in personal growth and creative conflict management.  The national organization provides support for the work of these local groups,,,,,,,,,,,,,,,,Y,8794 NY Route 90,across the US
763,"Ralph Lincoln Service Center, Inc.",Y,N,N,N,N,,7186041358.0,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Published,"261 Buffalo Avenue, Ste. 2",Brooklyn,N,11213.0,,,"{'latitude': '40.669991', 'longitude': '-73.925427'}",BROOKLYN ,40.669991,-73.925427,8.0,41.0,359.0,3037201.0,3013870007.0,Crown Heights North                                                        ,17615.0,16.0,2.0,17.0,49.0,N,,
764,Odyssey House of New York,N,N,Y,N,N,,2129875120.0,Y,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Published,219 East 121st St.,New York,N,10035.0,http://www.odysseyhouseinc.org/programs/adult.html,"Odyssey House is an enhanced therapeutic community incorporating a highly structured, peer-driven clinical model with psychological and psychiatric services. Recognized as an innovator in the field of substance abuse treatment, Odyssey House has been in the business of providing quality programs since 1967. With more than 600 residential beds in New York City, Odyssey House is one of the nation's largest providers of intensive, comprehensive treatment services for chronic drug abusers.","{'latitude': '40.800885', 'longitude': '-73.937059'}",MANHATTAN,40.800885,-73.937059,11.0,8.0,194.0,1087442.0,1017860009.0,East Harlem North                                                          ,13093.0,7.0,4.0,35.0,16.0,,,
765,St Rosalia Regina Pacis NIA Youth Program,Y,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Published,6614 11 Avenue,Brooklyn,N,11219.0,,,"{'latitude': '40.627905', 'longitude': '-74.006708'}",BROOKLYN ,40.627905,-74.006708,10.0,43.0,210.0,3142417.0,3057580042.0,Dyker Heights                                                              ,17621.0,10.0,2.0,44.0,41.0,,,
766,Griot Circle,Y,N,N,N,N,,,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,Published,30 3rd Ave,Brooklyn,N,11217.0,,,"{'latitude': '40.68581', 'longitude': '-73.980385'}",BROOKLYN ,40.68581,-73.980385,2.0,33.0,39.0,3000753.0,3001797503.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ,17619.0,68.0,2.0,38.0,54.0,,,
767,Research Foundation of CUNY,N,N,Y,N,N,,2124178300.0,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,230 West 41st Street,New York,N,10036.0,,,"{'latitude': '40.755802', 'longitude': '-73.988482'}",MANHATTAN,40.755802,-73.988482,5.0,3.0,113.0,1080830.0,1010120015.0,Midtown-Midtown South                                                      ,12080.0,11.0,4.0,10.0,8.0,N,,
768,Asian American Legal Defense and Education Fund,N,N,Y,N,N,,2129665932.0,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,"99 Hudson Street, 12th Fl",New York,N,10013.0,http://www.aaldef.org,"AALDEF focuses on critical issues affecting Asian Americans, including immigrant rights, civic participation and voting rights, economic justice for workers, language access to services, Census policy, affirmative action, youth rights and educational equity, and the elimination of anti-Asian violence, police misconduct, and human trafficking.","{'latitude': '40.719133', 'longitude': '-74.008741'}",MANHATTAN,40.719133,-74.008741,1.0,1.0,39.0,1075728.0,1001817504.0,SoHo-TriBeCa-Civic Center-Little Italy                                     ,12076.0,56.0,4.0,32.0,1.0,N,,
769,AMIT,N,N,Y,N,N,2123532312.0,2124774720.0,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,817 Broadway,New York,N,,http://www.amitchildren.org,"AMIT enables Israel's youth to realize their potential and strengthens Israeli society by educating and nurturing children from diverse backgrounds within a framework of academic excellence, religious values and Zionist ideals.",,,,,,,,,,,,,,,,N,,
770,Bottomless Closet,Y,Y,Y,Y,Y,2125632461.0,2125632499.0,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,Published,15 Penn Plaza,New York,N,10001.0,http://www.bottomlessclosetnyc.org,"The mission of Bottomless Closet is to promote economic self sufficiency by providing interview skills, business clothing, and ongoing career development and support programs to economically disadvantaged New York City women. By enhancing their self-confidence and self-esteem, we enable them to enter and succeed in the workforce and transform the vision for their lives.","{'latitude': '40.750009', 'longitude': '-73.991327'}",MANHATTAN,40.750009,-73.991327,5.0,3.0,101.0,1015191.0,1008087501.0,Midtown-Midtown South                                                      ,11722.0,11.0,4.0,10.0,8.0,N,"Level B, Suite 40",
771,"Centro Hispano ""Cuzcatlan""",N,N,N,Y,N,7182986946.0,7182985083.0,N,N,N,N,N,Y,N,N,N,Y,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,148-13 Hillside Avenue,Jamaica,N,11435.0,,"CHC is currently developing a community organizing series of workshops with a group of potential community organizers/leaders.

IMMIGRATION
As a member of the Salvadoran American National Network(SANN), CHC participates in the national campaign to improve the immigration status of the Salvadoran, Guatemalan, Honduran, and Haitian communities.

EDUCATION
CHC organizes workshops to educate the community on housing, health, and immigration issues.

REFERRAL
CHC refers people to agencies such as Housing Court, Division of Housing and Community Renewal, Queens Legal Services and NYC Commission on Human Rights.","{'latitude': '40.706177', 'longitude': '-73.808209'}",QUEENS   ,40.706177,-73.808209,8.0,24.0,238.0,4207424.0,4097040062.0,Jamaica                                                                    ,24670.0,25.0,3.0,24.0,65.0,,,
772,Afrikan Poetry Theatre Inc.,N,N,N,Y,N,,7185233312.0,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,17603 Jamaica Avenue,Jamaica,,11432.0,,,"{'latitude': '40.707941', 'longitude': '-73.784233'}",QUEENS   ,40.707941,-73.784233,12.0,27.0,468.0,4209975.0,4098120008.0,Jamaica                                                                    ,24668.0,41.0,3.0,6.0,61.0,,,
773,Queers For Economic Justice,N,N,Y,N,N,2125640590.0,2125643608.0,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,Published,16 W. 32nd Street,New York,N,10001.0,http://q4ej.org/,,"{'latitude': '40.747541', 'longitude': '-73.986426'}",MANHATTAN,40.747541,-73.986426,5.0,4.0,76.0,1015827.0,1008330054.0,Midtown-Midtown South                                                      ,11722.0,11.0,4.0,51.0,8.0,,Suite 10H,
774,"African Ancestral Lesbians United for Societal Change, Inc.",Y,Y,Y,Y,Y,,2127419110.0,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,Published,"154 Christopher Street, 3C",New York,N,10014.0,http://www.aalusc.org,"The organization is fully committed to the spiritual, cultural, educational, economic and social empowerment of African Ancestral women. It is dedicated to advocate for women's rights through a redefined philosophy and holistic objectives that use workshops with open discussions to empower and achieve the organization's mission.","{'latitude': '40.73273', 'longitude': '-74.008129'}",MANHATTAN,40.73273,-74.008129,2.0,3.0,69.0,1010421.0,1006040033.0,West Village                                                               ,12077.0,57.0,4.0,10.0,3.0,,,
775,National Association of Women Business Owners,N,N,Y,N,N,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,Published,171 Madison Avenue,New York,N,10016.0,,,"{'latitude': '40.74726', 'longitude': '-73.983316'}",MANHATTAN,40.74726,-73.983316,5.0,2.0,74.0,1017082.0,1008630027.0,Midtown-Midtown South                                                      ,12078.0,11.0,4.0,50.0,8.0,,,
776,Sadie Nash Leadership Project,Y,N,N,N,N,7184228663.0,7184228664.0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Published,157 Montague St.,Brooklyn,N,11201.0,http://www.sadienash.org,,"{'latitude': '40.694504', 'longitude': '-73.993213'}",BROOKLYN ,40.694504,-73.993213,2.0,33.0,502.0,3329457.0,3002430008.0,Brooklyn Heights-Cobble Hill                                               ,16865.0,68.0,2.0,38.0,54.0,,4th Fl,
777,Asian Professional Extension,N,N,Y,N,N,2127481250.0,2127481225.0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Published,"352 7th Avenue, Suite 201",New York,N,10038.0,http://www.apex-ny.org,"APEX is a 501 (c) 3 nonprofit in New York City dedicated to providing mentoring and educational services to an Asian American youth population. Now in its seventeenth year, APEX has attracted thousands of volunteers and has served thousands of youth, many of whom are now mentors and volunteers themselves.","{'latitude': '40.748208', 'longitude': '-73.992663'}",MANHATTAN,40.748208,-73.992663,5.0,3.0,95.0,1014291.0,1007790041.0,Midtown-Midtown South                                                      ,11722.0,11.0,4.0,10.0,8.0,N,,
778,Service Fund of NOW-NY,N,N,Y,N,N,,2126279895.0,N,Y,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,Published,"150 W. 28th St.reet, Suite 307",New York,Y,10010.0,,,"{'latitude': '40.746638', 'longitude': '-73.991963'}",MANHATTAN,40.746638,-73.991963,5.0,3.0,95.0,1015095.0,1008030067.0,Midtown-Midtown South                                                      ,11722.0,11.0,4.0,10.0,7.0,,,
779,Callen Lorde Community Health Center,N,N,Y,N,N,2122718111.0,2122717200.0,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,Published,356 West 18th Street,New York,N,10011.0,http://www.callen-lorde.org/,"Callen-Lorde Community Health Center is New York City's only primary health care center dedicated to meeting the health care needs of the lesbian, gay, bisexual and transgender (LGBT) communities and people living with HIV/AIDS -- regardless of any patient's ability to pay. We are welcoming to all, regardless of sexual orientation or insurance coverage.
Callen-Lorde provides sensitive, quality health care and related services primarily to New York's lesbian, gay, bisexual, and transgender communities -- in all their diversity -- regardless of ability to pay. To further this mission, Callen-Lorde promotes health education and wellness and advocates for gay, lesbian, bisexual, and transgender health issues.","{'latitude': '40.742905', 'longitude': '-74.00227'}",MANHATTAN,40.742905,-74.00227,4.0,3.0,83.0,1013088.0,1007410063.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,12074.0,12.0,4.0,10.0,6.0,N,,
780,Chinese American Parents Association,N,N,N,Y,N,,7183585578.0,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,133-31 39 Avenue,Flushing,N,11354.0,,,"{'latitude': '40.759115', 'longitude': '-73.834165'}",QUEENS   ,40.759115,-73.834165,7.0,20.0,871.0,4112272.0,4049720065.0,Flushing                                                                   ,13832.0,22.0,3.0,3.0,67.0,,,
781,"Arthur Ashe Institute for Urban Health, Inc",Y,N,N,N,N,,7182702600.0,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,450 Clarkson Avenue,Brooklyn,N,11203.0,http://www.arthurasheinstitute.org/,"To reduce morbidity and mortality from disease among the most vulnerable populations
in our urban areas through improved access to care and increased health knowledge by:

â€¢ Preventing illness & disease through health education in traditional and non-traditional settings;

â€¢ Assuring availability of care through training in urban medicine and allied health disciplines;

â€¢ Breaking down institutional and cultural barriers in urban health education and health care through conferences and seminars;

â€¢ Seeking solutions through research; and,

â€¢ Building bridges between the public, private and non-profit sectors through collaborations.","{'latitude': '40.655743', 'longitude': '-73.944598'}",BROOKLYN ,40.655743,-73.944598,17.0,40.0,816.0,3336186.0,3048380001.0,East Flatbush-Farragut                                                     ,16866.0,61.0,2.0,11.0,40.0,N,,
782,New York Public Library: Andrew Heiskell Library for the Blind and Physically Handicapped,N,N,Y,N,N,,2122065400.0,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,40 West 20th St.,New York,N,10011.0,http://talkingbooks.nypl.org/,"The library has two public floors, with a children's room and a young adult section, large circulating collections of talking book and braille materials that mirror collections in traditional neighborhood public libraries, specialized audio playback equipment for listening to recorded books and magazines, and adaptive technology. Fiction and nonfiction selections range from classics to bestsellers in many subject areas. There is also a meeting room for concerts, lectures, and other special events. Public programs are barrier-free and are open to the general public, free of charge.","{'latitude': '40.740246', 'longitude': '-73.992324'}",MANHATTAN,40.740246,-73.992324,5.0,3.0,54.0,1076145.0,1008217501.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,12074.0,11.0,4.0,10.0,7.0,,,
783,American Family Community Services,N,N,N,Y,N,7186398529.0,7186398370.0,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,37-63 76th Street,Jackson Heights,N,11372.0,,"The American Family Community Services was established to provide an Educational services, including English as a Second Language an other Languages, Civic Awareness, and to offer a Social Services Counseling with the mission to increase the functioning and self-sufficient of the individuals, families, youth, and adults population from diverse cultural background to the residents of the New York City, and the New York State area.","{'latitude': '40.747387', 'longitude': '-73.889629'}",QUEENS   ,40.747387,-73.889629,3.0,25.0,287.0,4439248.0,4012870043.0,Jackson Heights                                                            ,14783.0,65.0,3.0,5.0,73.0,N,,
784,Chinese Christian Herald Crusades,N,N,N,Y,N,7183211186.0,7183211030.0,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,"39-07 Prince Street, Suite 4J",Flushing,N,11354.0,http://www.cchc.org,"Services:
Provides professional counseling, domestic violence counseling, legal consultation, medical consultation, interpretation (Mandarin and Cantonese), document translation, immigration services, ESL, naturalization class, notary public services, assistance in filling out applications for government and social security benefits.  Information and referral, recreational activities are also provided.

SAT-I SUMMER TUTORIAL CLASS
Includes math and verbal class by experienced teachers, free extended study hours with teaching assistants, workshops on college application and financial aid for students and parents, and field trips to explore the professional world.","{'latitude': '40.759543', 'longitude': '-73.832255'}",QUEENS   ,40.759543,-73.832255,7.0,20.0,871.0,4112321.0,4049767501.0,Flushing                                                                   ,13832.0,22.0,3.0,3.0,67.0,,,
785,American Red Cross,Y,Y,Y,Y,Y,2128752309.0,8777332767.0,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,520 West 49th Street,New York,N,10019.0,http://www.nyredcross.org,"The American Red Cross in Greater New York is a volunteer led humanitarian organization that provides relief to individuals affected by disasters, and helps people prevent, prepare for, and respond to emergencies. It accomplishes this mission through services that are consistent with its Congressional Charter and the Fundamental Principles of the International Red Cross movement.","{'latitude': '40.764578', 'longitude': '-73.993509'}",MANHATTAN,40.764578,-73.993509,4.0,3.0,129.0,1080966.0,1010770043.0,Clinton                                                                    ,12081.0,12.0,4.0,10.0,10.0,N,,
786,Dwa Fanm,Y,Y,Y,Y,Y,7182303194.0,7182304027.0,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,PO Box 23505,Brooklyn,N,11202.0,http://www.dwafanm.org,"Dwa Fanm (meaning ""Women's Rights"" in Haitian) started as a volunteer-run community-based organization in 1999 when a group of eight Haitian and American women from diverse backgrounds met to discuss the state of women's rights in Haitian immigrant communities in the United States and in Haiti. Having established itself as a human rights organization, Dwa Fanm's mission is to empower all women and girls with the freedom to define and control their own lives. Through service, education, advocacy and grassroots programs, Dwa Fanm works to end discrimination, violence, and other forms of injustice in New York City and abroad. 
Dwa Fanm's members share a commitment to women's rights as well as to social and legal equality, justice, peace and democracy. We envision a world where women fully and equally participate in processes that favor their well-being and economic independence, where they have the freedom to define their lives and where all girls can develop to their full potential.

We oppose all forms of discrimination and exclusion due to sex, age, color, sexual orientation, religion, nationality, martial or parental status, physical ability, social class and economic status.

We support the right of women to fight exploitation and poverty. We believe women have the right to control their own bodies. We support a woman's right to have children and to not have children, to resist and denounce rape and incest, to marry whom they want to or not to marry. All women have value independent of their relationship to a man and deserve the respect of society. These values represent what many of us define as feminism.",,,,,,,,,,,,,,,,,,
