,borough_code,development,address,status,sponsor,type,zip_code,latitude,longitude,community_board,community_council,census_tract,bin,bbl,nta
393,Bronx,Gun Hill,3450 White Plains Road,Vacant ,NYCHA,Vacant- health clinic,10467.0,40.876214,-73.866978,12.0,12.0,374.0,2093518.0,2046290050.0,Williamsbridge-Olinville                                                   
394,Manhattan,335 East 111th St (managed by Jefferson),335 East 111th Street,Occupied,Research Foundation of CUNY (Hostos Community College),Other - Jobs Plus,10029.0,40.793173,-73.938558,11.0,8.0,180.0,1052877.0,1016830018.0,East Harlem North                                                          
395,Brooklyn,Borinquen Plaza I,125 Humboldt Street,Occupied,YMCA of Greater New York ,Community Center,11206.0,40.705694,-73.941231,1.0,34.0,493.0,3071353.0,3030800020.0,Bushwick South                                                             
396,Queens,Bland,133-36 Roosevelt Avenue,Reserved UPK 2015,School Construction Authority,Occupied,11354.0,40.758531,-73.833124,7.0,20.0,871.0,4443447.0,4050370008.0,Flushing                                                                   
397,Manhattan,Chelsea Addition,441 West 26th Street,Occupied,Hudson Guild,NORC,10001.0,40.749196,-74.001815,4.0,3.0,97.0,1012827.0,1007240010.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
398,Manhattan,Saint Nicholas,220 West 131st Street,NYCHA HOLD,NYCHA,Vacant,10027.0,40.813142,-73.946537,10.0,9.0,224.0,1081514.0,1019330050.0,Central Harlem North-Polo Grounds                                          
399,Manhattan,Johnson,1820 Lexington Avenue,Occupied,El Barrio Boxing,Other - Sports - Boxing Program,10029.0,40.796524,-73.943167,11.0,8.0,182.0,1079195.0,1016400001.0,East Harlem North                                                          
400,Manhattan,Corsi,307 East 116th Street,Occupied,Union Settlement Association,Senior Center,10029.0,40.796935,-73.93759,11.0,8.0,188.0,1079357.0,1016880045.0,East Harlem North                                                          
401,Queens,Woodside,49-11 Broadway,NYCHA HOLD,NYCHA,Vacant,11377.0,40.755464,-73.911514,1.0,26.0,163.0,4431000.0,4007380050.0,Astoria                                                                    
402,Manhattan,Grant,1301 Amsterdam Avenue,Occupied,New York City Mission Society,Community Center,10027.0,40.811994,-73.957264,9.0,7.0,20901.0,1084095.0,1019640001.0,Morningside Heights                                                        
403,Bronx,Melrose,731 Courtlandt Avenue,Vacant ,NYCHA,Vacant,10451.0,40.820832,-73.917638,1.0,17.0,67.0,2093919.0,2024130001.0,Melrose South-Mott Haven North                                             
404,Brooklyn,Vandalia,47 Vandalia Avenue,Occupied,Millennium Development Corp.,Senior Center,11239.0,40.649799,-73.88676,5.0,42.0,105804.0,3348859.0,3044310100.0,Starrett City                                                              
405,Manhattan,Amsterdam Addition,250 West 65th Street,Occupied,"Lincoln Square Neighborhood Center, Inc.",Senior Center,10023.0,40.77501,-73.98689,7.0,6.0,151.0,1030340.0,1011560020.0,Lincoln Square                                                             
406,Brooklyn,Independence Towers,114 Taylor Street,Occupied,Millennium Development Corp.,Senior Center,11211.0,40.705508,-73.963702,1.0,33.0,545.0,3059905.0,3021760001.0,Williamsburg                                                               
407,Brooklyn,Marlboro,2298 West 8th Street,Occupied,Federation of Italian American Organizations of Brooklyn,Community Center,11223.0,40.592081,-73.978468,13.0,47.0,382.0,3322179.0,3071400016.0,Gravesend                                                                  
408,Brooklyn,Pennsylvania Avenue-Wortman Avenue,895 Pennsylvania Avenue,Occupied,Millennium Development Corp.,Senior Center,11207.0,40.655966,-73.888652,5.0,42.0,1104.0,3324011.0,3043690001.0,East New York                                                              
409,Bronx,Marble Hill,5365 Broadway,Occupied,Mosholu Montefiore Community Center Inc.,Community Center,10463.0,40.876062,-73.907886,8.0,10.0,309.0,1082782.0,1022150623.0,Marble Hill-Inwood                                                         
410,Manhattan,Grant,3170 Broadway,Occupied,Renaissance Health Care Network ,Health Clinic,10027.0,40.814794,-73.958928,9.0,7.0,211.0,1084118.0,1019800001.0,Morningside Heights                                                        
411,Bronx,Boston Road Plaza,2424 Boston Road,Occupied,"Regional Aid For Interim Needs, Inc.",Senior Center,10467.0,40.861733,-73.866616,11.0,13.0,330.0,2093401.0,2044310001.0,Bronxdale                                                                  
412,Queens,Woodside,50-53 Newtown Road,Occupied,Elmhurst Hospital ,Health Clinic,11377.0,40.753164,-73.910752,1.0,26.0,163.0,4430994.0,4007360002.0,Astoria                                                                    
413,Brooklyn,Sumner,860 Park Avenue,Occupied,"Brooklyn Kindergarten Society, Inc.",Child Care - Early Learn,11206.0,40.698576,-73.940801,3.0,36.0,28502.0,3324728.0,3015800001.0,Stuyvesant Heights                                                         
414,Brooklyn,Kingsborough,129 Kingsborough 1st Walk,Occupied,Coalition for Hispanic Family Services,Community Center,11233.0,40.67591,-73.927147,8.0,41.0,307.0,3324601.0,3013440001.0,Crown Heights North                                                        
415,Brooklyn,Cooper Park,288 Frost Street,Occupied,Jewish Association Services For the Aged,Senior Center,11222.0,40.718837,-73.939856,1.0,34.0,449.0,3327829.0,3028670001.0,East Williamsburg                                                          
416,Brooklyn,Palmetto Gardens,85 Palmetto Street,Occupied,"Ridgewood-Bushwick Sr Citizens Council, Inc.",Senior Center,11221.0,40.691599,-73.91884,4.0,34.0,399.0,3076429.0,3033400020.0,Bushwick South                                                             
417,Queens,Queensbridge North,10-25 41st Avenue,Occupied,"Jacob A. Riis Neighborhood Settlement, Inc.",Other - Computer Room,11101.0,40.755488,-73.945328,1.0,26.0,25.0,4433386.0,4004700100.0,Queensbridge-Ravenswood-Long Island City                                   
418,Brooklyn,Pink,2700 Linden Boulevard,Occupied,Colony South Brooklyn Houses,Child Care ,11208.0,40.669187,-73.864673,5.0,42.0,1214.0,3326995.0,3044880001.0,East New York                                                              
419,Bronx,Bronx River Add,1350 Manor Avenue,Vacant ,NYCHA,Vacant,10472.0,40.833016,-73.877331,9.0,18.0,56.0,2027475.0,2038660031.0,West Farms-Bronx River                                                     
420,Brooklyn,Wyckoff Gardens,280 Wyckoff Street,Occupied,Goodwill Industries of Greater New York,Community Center,11217.0,40.683365,-73.983941,6.0,33.0,127.0,3336056.0,3003940001.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
421,Manhattan,Taft,1732 Madison Avenue,Occupied,"Children's Aid Society, Inc.",Community Center,10029.0,40.798844,-73.945696,11.0,9.0,184.0,1080505.0,1016180001.0,East Harlem North                                                          
422,Bronx,Millbrook,161 Saint Anns Avenue,Occupied,"Pamela C. Torres Day Care Center, Inc.",Child Care ,10454.0,40.805284,-73.918564,1.0,8.0,25.0,2090985.0,2022630019.0,Mott Haven-Port Morris                                                     
423,Manhattan,Taft,1365  5th Avenue,Occupied,NYCHA,Senior Center,10029.0,40.798815,-73.947799,11.0,9.0,184.0,1080501.0,1016180001.0,East Harlem North                                                          
424,Bronx,Boynton Avenue Rehab,1057 Boynton Avenue,Vacant + being looked at,NYCHA,Vacant,10472.0,40.825364,-73.877478,9.0,18.0,5001.0,2023475.0,2037140036.0,Soundview-Bruckner                                                         
425,Queens,Pomonok,67-09 Kissena Blvd,Occupied,"Queens Community House, Inc.",Community Center,11367.0,40.735033,-73.814726,8.0,24.0,122702.0,4455430.0,4067920030.0,Pomonok-Flushing Heights-Hillcrest                                         
426,Bronx,Morissania Air Rights,3204 Park Avenue ,NYCHA HOLD,NYCHA,Vacant,10451.0,40.825206,-73.916267,3.0,17.0,141.0,2098307.0,2024099059.0,Morrisania-Melrose                                                         
427,Bronx,Highbridge Gardens,1145 University Avenue,Occupied,NYCHA,Senior Center,10452.0,40.837077,-73.928282,4.0,16.0,193.0,2095219.0,2025270032.0,Highbridge                                                                 
428,Brooklyn,Sheepshead/Nostrand,3525 Nostrand Avenue,NYCHA HOLD,NYCHA,Vacant- health clinic,11229.0,40.597782,-73.941366,15.0,46.0,572.0,3337289.0,3073870001.0,Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             
429,Manhattan,Gompers,80 Pitt Street,Occupied,"Grand Street Settlement, Inc.",Community Center,10002.0,40.718328,-73.98245,3.0,2.0,2201.0,1084357.0,1003380001.0,Lower East Side                                                            
430,Bronx,Sedgwick,1553 University Avenue,Occupied,NYCHA,Senior Center,10453.0,40.846111,-73.921662,5.0,16.0,20501.0,2092105.0,2028770001.0,University Heights-Morris Heights                                          
431,Bronx,Bronx River,1585 East 174th Street,NYCHA HOLD ,NYCHA,Vacant,10472.0,40.833784,-73.877351,9.0,18.0,62.0,2092907.0,2038860002.0,West Farms-Bronx River                                                     
432,Brooklyn,Pink,2702 Linden Boulevard,Occupied,Fort Greene Senior Citizens Council,Senior Center,11208.0,40.669208,-73.864514,5.0,42.0,1214.0,3326995.0,3044880001.0,East New York                                                              
433,Manhattan,Washington,1761 Third Avenue,Occupied,Union Settlement Association,Other - Community Center Annex,10029.0,40.786135,-73.948625,11.0,8.0,15602.0,1082344.0,1016470001.0,East Harlem South                                                          
434,Queens,Redfern,14-66 Beach Channel Dr,Occupied,"Bethel Mission Station Church, Inc.",Child Care ,11691.0,40.609989,-73.753586,14.0,31.0,103201.0,4449690.0,4155010002.0,Far Rockaway-Bayswater                                                     
435,Staten Island,Stapleton,195 Gordon Street,Occupied,Friends of Crown Heights,Child Care - UPK 2014,10304.0,40.622959,-74.082863,1.0,49.0,29.0,5108860.0,5005450100.0,Stapleton-Rosebank                                                         
436,Brooklyn,Kingsborough,447 Kingsborough 4th Walk,Occupied,Fort Greene Senior Citizens Council,Senior Center,11233.0,40.675242,-73.924931,8.0,41.0,307.0,3035751.0,3013440175.0,Crown Heights North                                                        
437,Manhattan,Jefferson,2089 Third Avenue,Occupied,Union Settlement Association,Health Clinic (mental),10029.0,40.796761,-73.940873,11.0,8.0,180.0,1080705.0,1016620001.0,East Harlem North                                                          
438,Brooklyn,Lafayette Gardens,433 Lafayette Avenue,Occupied,NYCHA,Storage,11228.0,40.689147,-73.957754,3.0,35.0,233.0,3321868.0,3019380001.0,Bedford                                                                    
439,Brooklyn,Breukelen,717 East 105th Street,Occupied,Recreation Rooms & Settlement,Child Care - Early Learn,11236.0,40.648672,-73.895937,18.0,42.0,982.0,3321523.0,3081930001.0,Canarsie                                                                   
440,Staten Island,Mariner's Harbor,166 Lockman Avenue,Occupied,"Staten Island Mental Health Society, Inc.",Child Care - Early Learn,10303.0,40.633097,-74.161677,1.0,49.0,31901.0,5110121.0,5012450001.0,Mariner's Harbor-Arlington-Port Ivory-Graniteville                         
441,Bronx,Highbridge Gardens,1165 University Avenue,Occupied,"Highbridge Advisory Council, Inc",Child Care - Early Learn,10452.0,40.837198,-73.928159,4.0,16.0,193.0,2095219.0,2025270032.0,Highbridge                                                                 
442,Manhattan,Manhattanville,530 West 133rd Street,Occupied,Graham Windham Services to Families & Children,Community Center,10027.0,40.818127,-73.954478,9.0,7.0,219.0,1084130.0,1019840001.0,Manhattanville                                                             
443,Manhattan,Wald,888 East 6th Street,Occupied,"Henry Street Settlement, Inc.",Community Center,10009.0,40.722175,-73.97615,3.0,2.0,20.0,1078051.0,1003560001.0,Lower East Side                                                            
444,Queens,Ocean Bay Apartments (Oceanside),338 Beach 56th Street,Occupied,"Bethel Mission Station Church, Inc.",Child Care ,11692.0,40.593503,-73.786115,14.0,31.0,97204.0,4436422.0,4158920001.0,Hammels-Arverne-Edgemere                                                   
445,Queens,Baisley Park,116-55 Guy Brewer Blvd,Occupied,"Clifford Glover Day Care Center, Inc.",Child Care - Early Learn,11433.0,40.685265,-73.783585,12.0,28.0,278.0,4435292.0,4123350044.0,Baisley Park                                                               
446,Manhattan,Saint Nicholas,236 West 129st Street,Occupied,Utopia Children's Center,Child Care - Early Learn,10027.0,40.811811,-73.947207,10.0,9.0,224.0,1081503.0,1019330001.0,Central Harlem North-Polo Grounds                                          
447,Manhattan,Polo Grounds Towers,2967 Eighth Avenue,Occupied,"Sheltering Arms Chidren and Family Services, Inc.",Child Care - Early Learn,10039.0,40.830283,-73.936467,10.0,9.0,24302.0,1084520.0,1021060003.0,Central Harlem North-Polo Grounds                                          
448,Manhattan,King Towers,2 West 115th Street,Occupied,SCAN Supportive Children's Advocacy Network,Community Center,10026.0,40.799987,-73.947057,10.0,9.0,186.0,1083316.0,1015960001.0,Central Harlem South                                                       
449,Manhattan,Samuel (City),669 Lenox Avenue,Occupied,Abyssinian Baptist Church,Community Center,10030.0,40.81939,-73.937012,10.0,9.0,232.0,1085366.0,1020120025.0,Central Harlem North-Polo Grounds                                          
450,Brooklyn,Howard,1592 East New York Avenue,Occupied,YWCA - New York City,Child Care - Early Learn,11212.0,40.672884,-73.909392,16.0,41.0,906.0,3339438.0,3034890001.0,Brownsville                                                                
451,Bronx,East 152nd Street-Courtlandt Avenue,372 E 152nd Street,Occupied,East Side House Settlement,Senior Center,10455.0,40.818516,-73.91793,1.0,17.0,67.0,2090413.0,2023980014.0,Melrose South-Mott Haven North                                             
452,Bronx,Gun Hill,3445 Holland Avenue,NYCHA HOLD,NYCHA,Vacant,10467.0,40.876118,-73.864761,12.0,12.0,374.0,2093517.0,2046290050.0,Williamsbridge-Olinville                                                   
453,Manhattan,Taft,1724-26 Madison Avenue,Occupied,"Children's Aid Society, Inc.",Child Care - Early Learn,10029.0,40.798496,-73.94595,11.0,9.0,184.0,1080504.0,1016180001.0,East Harlem North                                                          
454,Manhattan,Lehman Village,1641 Madison Avenue,Occupied,Carter Burden,Senior Center,10029.0,40.79584,-73.947866,11.0,8.0,17401.0,1078867.0,1016150023.0,East Harlem South                                                          
455,Manhattan,Dyckman,3782 Tenth Avenue,Occupied,Catholic Charities Community Services Archdiocese of NY,Community Center,10034.0,40.861366,-73.921207,12.0,10.0,299.0,1080033.0,1022160001.0,Marble Hill-Inwood                                                         
456,Manhattan,Douglas I,885 Columbus Avenue,Occupied,"Children's Aid Society, Inc.",Child Care - Early Learn,10025.0,40.797762,-73.963944,7.0,7.0,189.0,1081301.0,1018360001.0,Upper West Side                                                            
457,Staten Island,Mariner's Harbor,22 Roxbury Street,NYCHA HOLD,NYCHA,Vacant,10303.0,40.633482,-74.162903,1.0,49.0,31901.0,5109114.0,5012450001.0,Mariner's Harbor-Arlington-Port Ivory-Graniteville                         
458,Brooklyn,Hope Gardens,195 Linden Street,Occupied,"Ridgewood-Bushwick Sr Citizens Council, Inc.",Senior Center,11221.0,40.69537,-73.917486,4.0,37.0,417.0,3076116.0,3033240019.0,Bushwick South                                                             
459,Bronx,Eastchester Gardens,1246 Burke Avenue,Occupied,"Regional Aid For Interim Needs, Inc.",Senior Center,10469.0,40.871144,-73.851046,11.0,12.0,348.0,2093500.0,2045810001.0,Allerton-Pelham Gardens                                                    
460,Staten Island,Richmond Terrace,71 Jersey Street,Occupied,Jewish Community Center of Staten Island,Community Center,10301.0,40.645957,-74.08824,1.0,49.0,7.0,5108499.0,5000510030.0,West New Brighton-New Brighton-St. George                                  
461,Manhattan,Isaacs,415 East 93rd Street,Occupied,Stanley M. Isaacs Neighborhood Center,NORC,10128.0,40.780904,-73.945112,8.0,5.0,152.0,1082367.0,1015730001.0,Yorkville                                                                  
462,Bronx,Ft Independence,3350 Bailey Avenue,Occupied,Provider Name Unknown,Senior Center,10463.0,40.880093,-73.900742,8.0,14.0,277.0,2086835.0,2032610102.0,Van Cortlandt Village                                                      
463,Bronx,Boston Secor,3540 Bivona Street,Occupied,"Regional Aid For Interim Needs, Inc.",Senior Center,10475.0,40.883026,-73.833227,12.0,12.0,46202.0,2093879.0,2052630070.0,Co-op City                                                                 
464,Brooklyn,Howard,90 Watkins Street,Occupied,"Police Athletic League, Inc.",Community Center,11212.0,40.670843,-73.90818,16.0,41.0,906.0,3348343.0,3034890001.0,Brownsville                                                                
465,Brooklyn,Marlboro,49 Avenue W,Occupied,Friends of Crown Heights,Child Care - Early Learn,11223.0,40.591395,-73.982238,13.0,47.0,382.0,3322146.0,3071370001.0,Gravesend                                                                  
466,Manhattan,Wald,12 Avenue D,Occupied,Felix Milan Little League,Other - Sports Program,10009.0,40.720462,-73.978369,3.0,2.0,20.0,1078045.0,1003560001.0,Lower East Side                                                            
467,Manhattan,Jefferson,2211 First Avenue,Occupied,Dawning Village,Child Care ,10029.0,40.794511,-73.936509,11.0,8.0,180.0,1081091.0,1016840001.0,East Harlem North                                                          
468,Bronx,Edenwald,1135 229th Dr South,NYCHA HOLD,NYCHA,Vacant,10466.0,40.885849,-73.845823,12.0,12.0,458.0,2094157.0,2049050001.0,Eastchester-Edenwald-Baychester                                            
469,Manhattan,Amsterdam Addition,250 West 65th Street,Occupied,"Lincoln Square Neighborhood Center, Inc.",Community Center,10023.0,40.77501,-73.98689,7.0,6.0,151.0,1030340.0,1011560020.0,Lincoln Square                                                             
470,Bronx,Betances VI,465 St. Anns Avenue,Occupied,"Bronxworks, Inc.",Community Center,10455.0,40.812488,-73.914357,1.0,8.0,43.0,2093910.0,2022720119.0,Mott Haven-Port Morris                                                     
471,Manhattan,Carver,1445 Madison Avenue,Vacant ,NYCHA,Vacant,10029.0,40.789378,-73.952576,11.0,8.0,168.0,1082312.0,1016050024.0,East Harlem South                                                          
472,Manhattan,Chelsea Addition,441 West 26th Street,Occupied,Hudson Guild,Community Center,10001.0,40.749196,-74.001815,4.0,3.0,97.0,1012827.0,1007240010.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
473,Manhattan,Chelsea Addition,441 West 26th Street,Occupied,Hudson Guild,Child Care ,10001.0,40.749196,-74.001815,4.0,3.0,97.0,1012827.0,1007240010.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
474,Manhattan,Drew Hamilton,220 West 143rd Street,Occupied,New York City Mission Society,Community Center,10030.0,40.8208,-73.94113,10.0,9.0,232.0,1086084.0,1020280016.0,Central Harlem North-Polo Grounds                                          
475,Bronx,Hunts Point Avenue Rehab,875 Irvine Street,Reserved - application on file,NYCHA,Child Care ,10474.0,40.818859,-73.888578,2.0,17.0,11502.0,2006319.0,2027610003.0,Hunts Point                                                                
476,Brooklyn,Low Houses,137 Belmont Avenue,Occupied,Research Foundation of CUNY,Community Center,11212.0,40.669205,-73.905172,16.0,41.0,908.0,3327015.0,3037270001.0,Brownsville                                                                
477,Brooklyn,Williamsburg,202 Graham Avenue,Occupied,Jewish Association Services For the Aged,Senior Center,11206.0,40.708879,-73.943443,1.0,34.0,493.0,3344974.0,3030260001.0,Bushwick South                                                             
478,Manhattan,Washington,1775 Third Avenue,Occupied,Union Settlement Association,Community Center,10029.0,40.786574,-73.948303,11.0,8.0,15602.0,1079203.0,1016470001.0,East Harlem South                                                          
479,Bronx,Edenwald,1140 East 229th Street,Occupied,Northeast Bronx Day Care Center,Child Care - Early Learn,10466.0,40.88629,-73.845378,12.0,12.0,458.0,2094178.0,2049050001.0,Eastchester-Edenwald-Baychester                                            
480,Brooklyn,Hope Gardens,331 Central Avenue,Occupied,Bushwick United Housing Development Fund,Child Care - Early Learn,11221.0,40.694817,-73.919402,4.0,37.0,419.0,3075906.0,3033150001.0,Bushwick South                                                             
481,Manhattan,Saint Nicholas,281 West 127th Street,Occupied,Renaissance Health Care Network ,Health Clinic,10027.0,40.811288,-73.949747,10.0,9.0,224.0,1081504.0,1019330001.0,Central Harlem North-Polo Grounds                                          
482,Bronx,Claremont Parkway-Franklin Avenue,1315 Franklin Avenue,Occupied,Institute for the Puerto Rican/Hispanic Elderly,Senior Center,10456.0,40.832062,-73.901641,3.0,16.0,149.0,2009713.0,2029310086.0,Morrisania-Melrose                                                         
483,Manhattan,Dyckman,3732 Tenth Avenue,Occupied,Friends of Crown Heights,Child Care - Early Learn,10034.0,40.859898,-73.922264,12.0,10.0,299.0,1080030.0,1022160001.0,Marble Hill-Inwood                                                         
484,Bronx,Ft Independence,3350 Bailey Avenue,Occupied,Mosholu Montefiore Community Center Inc.,Community Center,10463.0,40.880093,-73.900742,8.0,14.0,277.0,2086835.0,2032610102.0,Van Cortlandt Village                                                      
485,Bronx,Randall Avenue-Balcom Avenue,2705 Schley Avenue,Occupied,Jewish Association Services For the Aged,Senior Center,10465.0,40.821662,-73.827061,10.0,13.0,144.0,2080423.0,2055680050.0,Schuylerville-Throgs Neck-Edgewater Park                                   
486,Queens,South Jamaica,107-60 159th Street,Vacant ,NYCHA,Vacant,11433.0,40.695479,-73.794139,12.0,28.0,254.0,4440737.0,4101250033.0,South Jamaica                                                              
487,Brooklyn,Sheepshead Bay,3643 Nostrand Avenue,Occupied,"Catholic Charities Neighborhood Services, Inc.",Senior Center,11229.0,40.594966,-73.940825,15.0,46.0,572.0,3344554.0,3074051001.0,Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             
488,Manhattan,Holmes Towers,1792 First Avenue,Occupied,Stanley M. Isaacs Neighborhood Center,Community Center,10128.0,40.781149,-73.946242,8.0,5.0,152.0,1076333.0,1015730020.0,Yorkville                                                                  
489,Manhattan,Baruch,294 Delancey Street,Occupied,"Grand Street Settlement, Inc.",Child Care - Early Learn,10002.0,40.715824,-73.979547,3.0,2.0,1002.0,1078038.0,1003230001.0,Lower East Side                                                            
490,Brooklyn,Marcy,494 Marcy Avenue,Occupied,"Sheltering Arms Chidren and Family Services, Inc.",Child Care - Early Learn,11206.0,40.698084,-73.949756,3.0,36.0,255.0,3325586.0,3017190001.0,Bedford                                                                    
491,Manhattan,Taft,1385  5th Avenue,Occupied,NYCHA,Performing Arts - Youth Chorus,10029.0,40.799355,-73.947404,11.0,9.0,184.0,1080508.0,1016180001.0,East Harlem North                                                          
492,Manhattan,Hernandez,189 Allen Street,Occupied,"University Settlement Society of New York, Inc.",Senior Center,10002.0,40.722133,-73.988964,3.0,1.0,3601.0,1005537.0,1004170001.0,Chinatown                                                                  
493,Bronx,Edenwald,1150 East 229th Street,Occupied,Mosholu Montefiore Community Center Inc.,Community Center,10466.0,40.886175,-73.845107,12.0,12.0,458.0,2094178.0,2049050001.0,Eastchester-Edenwald-Baychester                                            
494,Manhattan,East River,414 East 105th Street,Occupied,SCAN Supportive Children's Advocacy Network,Child Care - Early Learn,10029.0,40.788689,-73.939959,11.0,8.0,162.0,1083946.0,1016960001.0,East Harlem South                                                          
495,Queens,Ravenswood,35-32 21st Street,Occupied,Queens Borough Public Library,Child Care - UPK 2015,11106.0,40.760934,-73.935801,1.0,26.0,43.0,4430693.0,4003320002.0,Queensbridge-Ravenswood-Long Island City                                   
496,Bronx,Forest,1005 Tinton Avenue,NYCHA HOLD,NYCHA,Vacant- health clinic,10456.0,40.824078,-73.902585,3.0,16.0,133.0,2091962.0,2026390001.0,Morrisania-Melrose                                                         
497,Bronx,Justice Sonia Sotomayor Houses,1000 Rosedale Avenue,Occupied,Phipps Community Development,Community Center,10472.0,40.825259,-73.867705,9.0,18.0,44.0,2123862.0,2037250001.0,Soundview-Bruckner                                                         
498,Bronx,Sotomayor Houses,1818 Watson Avenue,RES HOLD,NYCHA,Vacant,10472.0,40.82788,-73.864773,9.0,18.0,44.0,2102921.0,2037300001.0,Soundview-Bruckner                                                         
499,Brooklyn,Hughes Apartments,301 Sutter Avenue,Occupied,NYCHA,Senior Center,11212.0,40.667312,-73.909072,16.0,41.0,906.0,3348344.0,3035260021.0,Brownsville                                                                
500,Brooklyn,Woodson,460 Dumont Avenue,Occupied,"Wayside Out-Reach Development Corporation, Inc.",Senior Center,11212.0,40.66514,-73.902222,16.0,42.0,910.0,3328133.0,3037970001.0,Brownsville                                                                
501,Bronx,Marble Hill,5480 Broadway,Occupied,Reach One To Teach One,Child Care - UPK 2014,10463.0,40.876558,-73.906949,8.0,10.0,309.0,1082781.0,1022150116.0,Marble Hill-Inwood                                                         
502,Brooklyn,Boulevard,2150 Linden Blvd,Occupied,"Boulevard Nursery School, Inc.",Child Care ,11207.0,40.661593,-73.883597,5.0,42.0,1110.0,3324285.0,3043550001.0,East New York                                                              
503,Queens,Astoria,2-08 Astoria Blvd.,Occupied,Cleveland Education Services,Child Care - UPK 2014,11102.0,40.77367,-73.936088,1.0,22.0,87.0,4430795.0,4004900101.0,Old Astoria                                                                
504,Manhattan,Rangel,159-30 Harlem River Drive,Occupied,"Prince Hall Service Fund, Inc.",Child Care ,10039.0,40.833115,-73.935445,10.0,9.0,24302.0,1084184.0,1021060320.0,Central Harlem North-Polo Grounds                                          
505,Staten Island,Cassidy/Lafayette,125 Cassidy Pl,Occupied,"Community Agency for Senior Citizens, Inc.",Senior Center,10301.0,40.641888,-74.096489,1.0,49.0,81.0,5001762.0,5000710011.0,West New Brighton-New Brighton-St. George                                  
506,Bronx,Boston Secor,3540 Bivona Street,Occupied,NYC Department of Education,Other - Education/ School,10475.0,40.883026,-73.833227,12.0,12.0,46202.0,2093879.0,2052630070.0,Co-op City                                                                 
507,Queens,FOREST HILLS COOP (108TH STREET-62ND DRIVE),62-27 108th Street,Occupied,"Queens Community House, Inc.",Other - Storage,11375.0,40.736351,-73.851347,6.0,29.0,745.0,4432109.0,4021590002.0,Forest Hills                                                               
508,Brooklyn,Independence Towers,110 Taylor Street,Occupied,"Sheltering Arms Chidren and Family Services, Inc.",Child Care - Early Learn,11211.0,40.705423,-73.963835,1.0,33.0,545.0,3341989.0,3021760001.0,Williamsburg                                                               
509,Bronx,Bronx River,1619 East 174th Street,Occupied,Infinity Bible Church,Other - Religious Center,10472.0,40.83395,-73.876147,9.0,18.0,62.0,2092909.0,2038860002.0,West Farms-Bronx River                                                     
510,Manhattan,Bracetti Plaza,296 East 4th Street,Occupied,Butterfly Child Care Center Inc.,Child Care - UPK 2015,10009.0,40.72242,-73.980515,3.0,2.0,2601.0,1004617.0,1003860033.0,Lower East Side                                                            
511,Manhattan,East River,416 East 105th Street,Occupied,East River Children's Center Committee Inc.,Child Care ,10029.0,40.788669,-73.939912,11.0,8.0,162.0,1083946.0,1016960001.0,East Harlem South                                                          
512,Bronx,Eastchester Gardens,3016 Yates Avenue,Occupied,Neighborhood Initiatives Development Corporation,Community Center,10469.0,40.870125,-73.854588,11.0,12.0,348.0,2093503.0,2045810001.0,Allerton-Pelham Gardens                                                    
513,Brooklyn,Lafayette Gardens,333 Classon Avenue,Occupied,Billy Martin Child Dev Center,Child Care ,11205.0,40.689768,-73.960169,3.0,35.0,233.0,3321871.0,3019380001.0,Bedford                                                                    
514,Queens,Hammel,81-14 Rockaway Beach Boulevard,Occupied,"Action Center for Education and Community Development, Inc.",Community Center,11693.0,40.587969,-73.807684,14.0,31.0,94202.0,4436315.0,4161140002.0,Hammels-Arverne-Edgemere                                                   
515,Manhattan,Campos Plaza II,611 East 13th Street,Occupied,"University Settlement Society of New York, Inc.",Community Center,10009.0,40.728579,-73.978114,3.0,2.0,28.0,1077502.0,1003960010.0,Lower East Side                                                            
516,Manhattan,Thomas Apartments,102 West 91 Street,Occupied,NYCHA,Senior Program,10024.0,40.789779,-73.970124,7.0,6.0,177.0,1077231.0,1012210038.0,Upper West Side                                                            
517,Bronx,Marble Hill,5365 Broadway,Occupied,Mosholu Montefiore Community Center Inc.,Senior Center,10463.0,40.876062,-73.907886,8.0,10.0,309.0,1082782.0,1022150623.0,Marble Hill-Inwood                                                         
518,Bronx,West Tremont,228 West Tremont Avenue,Vacant ,NYCHA,Vacant,10453.0,40.85294,-73.918169,5.0,14.0,20502.0,2008963.0,2028770497.0,University Heights-Morris Heights                                          
519,Brooklyn,Independence Towers,114 Taylor Street,Occupied,El Puente De Williamsburg,Community Center,11211.0,40.705508,-73.963702,1.0,33.0,545.0,3059905.0,3021760001.0,Williamsburg                                                               
520,Manhattan,Robinson,110 East 129th Street,Occupied,Addie Mae Collins Comm. Serv.,Child Care - Early Learn,10035.0,40.807387,-73.936695,11.0,9.0,242.0,1054505.0,1017770005.0,East Harlem North                                                          
521,Manhattan,Bethune,1949 Amsterdam Avenue,Vacant ,NYCHA,Vacant,10032.0,40.832646,-73.942182,12.0,7.0,239.0,1062490.0,1021070059.0,Washington Heights South                                                   
