,organizationname,brooklyn,bronx,manhattan,queens,staten_island,fax,phone,aging,anti_discrimination_human_rights,arts_culture,business,child_care_parent_information,community_service_volunteerism,counseling_support_groups,disabilities,domestic_violence,education,employment_job_training,health,homelessness,housing,immigration,legal_services,lesbian_gay_bisexual_and_or_transgender,personal_finance_financial_education,professional_association,veterans_military_families,victim_services,youth_services,faith_based_organization,foundation,is_registered_with_the_attorney_general_s_office,new_york_city_agency,none_of_the_above,nonprofit,other_government_organization,published,address1,city,url,nourl,description,outsideloc,location_1,borough,latitude,longitude,community_board,community_council,census_tract,bin,bbl,nta,address2,postcode,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,outsidelocdesc
790,Women's Prison Association and Home Inc.,N,N,Y,N,N,2126771981.0,2126741163.0,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,110 Second Ave.,New York,http://www.wpaonline.org/,,"WPA is a service and advocacy organization committed to helping women with criminal justice histories realize new possibilities for themselves and their families. Our program services make it possible for women to obtain work, housing, and health care; to",,,,,,,,,,,,,,,,,,,
791,National Organization of Italian-American Women,N,N,Y,N,N,2124896130.0,2122378574.0,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,Published,"445 West 59 St., Suite 1248",New York,http://www.noiaw.org/,,"The National Organization of Italian American Women is a sisterhood of diverse women from varied professional backgrounds. Members include doctors, lawyers, artists, scientists, nurses, businesswomen, educators, writers, judges, and women working in the h",,,,,,,,,,,,,,,,,,,
792,"Yeled V'Yalda Early Childhood Center, Inc.",Y,N,N,N,N,,7186863700.0,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,571 McDonald Ave,Brooklyn,,,,,"{'latitude': '40.639923', 'longitude': '-73.978983'}",BROOKLYN ,40.639923,-73.978983,12.0,39.0,486.0,3126000.0,3053700089.0,Kensington-Ocean Parkway                                                   ,,11218.0,17620.0,2.0,2.0,27.0,39.0,
793,Charles B. Wang Community Health Center,N,N,Y,N,N,,2129660228.0,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,Women's Health Department,New York,http://www.cbwchc.org/hcs/wh/wh.html,N,"The Women's Health Department is a unique community based health care program serving uninsured women in New York City. The majority of our clients are low income women who are recent immigrants. The Health Center provides a wide array of primary and specialty services, including gynecological care, family planning, pregnancy testing, prenatal and postnatal care, genetic and nutritional counseling, breast-feeding education, screening and education for HIV and STD infections, and screening and education for breast, cervical, ovarian and prostate cancers. The Women's Health Department also sponsors many outreach and health education programs to promote and increase the community's awareness of women's health issues.",N,,,,,,,,,,,268 Canal Street,10013.0,,,,,,
794,Business Link,Y,Y,Y,Y,Y,,2126399675.0,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Published,,New York,http://www.nyc.gov/html/hra/html/directory/business_link.shtml,N,"Business Link is a fast, free and easy way for employers to reach job seekers. Operated by New York Cityâ€™s Human Resources Administration/Department of Social Services, Business Link is at the core of the Cityâ€™s efforts to move cash assistance recipients into jobs. Plus, there are financial benefits available to companies that hire employees through Business Link.",N,,,,,,,,,,,,,,,,,,
795,Urban Justice Center,N,N,Y,N,N,,6466025600.0,N,Y,N,Y,N,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,"123 William Street, 16th Fl.",New York,http://www.urbanjustice.org/,,,,"{'latitude': '40.709112', 'longitude': '-74.006889'}",MANHATTAN,40.709112,-74.006889,1.0,1.0,1502.0,1079063.0,1000780004.0,Battery Park City-Lower Manhattan                                          ,,10038.0,13096.0,56.0,4.0,32.0,1.0,
796,OFE's Financial Empowerment Center at Phipps,N,Y,N,N,N,,3473293929.0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,Published,Third Avenue at 159th Street,Bronx,http://www.nyc.gov/ofe,N,"The Financial Empowerment Center in Melrose was created in partnership with the New York City Department of Consumer Affairsâ€™ Office of Financial Empowerment (OFE), with support from the Insurance Industry Charitable Foundation of New York. The Financial Empowerment Center is located at the Phipps Opportunity Center, a Phipps Community Development Corporation community education site, where clients are able to take advantage of the Centerâ€™s other resources, including computer training, literacy instruction (English as a Second Language), General Equivalency Diploma (GED) preparation, and family programs. Clients enrolled in classes are eligible for on-site childcare with pre-registration and proof of a physical examination. The Financial Empowerment Center in Melrose offers one-on-one financial counseling and coaching services led by trained professionals. Services are offered free of charge, in English and Spanish, and are completely confidential.

New Yorkers can call to schedule just one session or several sessions, as needed, to receive assistance in the following areas:

â€¢ Money management and budgeting
â€¢ Financial planning
â€¢ Credit and debt counseling
â€¢ Support for dealing with creditors
â€¢ Affordable banking services
â€¢ Government benefit screenings
â€¢ Strategic referrals to other services and organizations",N,,,,,,,,,,,,10451.0,,,,,,
797,Latino Commission On AIDS,Y,Y,Y,Y,Y,6463754420.0,2125849301.0,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,Published,24 West 25th Street 9th Floor,New York,http://...www.latinoaids.org,N,We are a nonprofit organization dedicated to fighting the spread of HIV-AIDS in the Latino community for both women and men.,N,"{'latitude': '40.743383', 'longitude': '-73.990004'}",MANHATTAN,40.743383,-73.990004,5.0,3.0,58.0,1080686.0,1008260057.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,,10010.0,12073.0,11.0,4.0,10.0,7.0,
798,NYC Health and Hospitals Corporation,Y,Y,Y,Y,Y,,2126399675.0,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Published,,New York,http://www.nyc.gov/html/hhc/html/home/home.shtml,N,"The New York City Health and Hospitals Corporation (HHC), the largest municipal hospital and health care system in the country, is a $5.4 billion public benefit corporation that serves 1.3 million New Yorkers and nearly 400,000 who are uninsured. HHC provides medical, mental health and substance abuse services through its 11 acute care hospitals, four skilled nursing facilities, six large diagnostic and treatment centers and more than 80 community based clinics. HHC Health and Home Care also provides health services at home for New Yorkers.",N,,,,,,,,,,,,,,,,,,
799,Search and Care,N,N,Y,N,N,,2122895300.0,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,1844 Second Ave.,New York,http://searchandcare.org/,,,,,,,,,,,,,,,,,,,,,
800,Spence-Chapin Services to Families and Children,N,N,Y,N,N,2123698589.0,2123690300.0,N,N,N,N,Y,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,410 East 92nd Street,New York,http://www.spence-chapin.org,N,"Spence-Chapin is an accredited, nonprofit, nonsectarian agency that has been offering quality adoption services for 100 years. Our mission is to find adoptive homes for children in need here and in countries around the world.",Y,"{'latitude': '40.780488', 'longitude': '-73.946119'}",MANHATTAN,40.780488,-73.946119,8.0,5.0,152.0,1081307.0,1015717501.0,Yorkville                                                                  ,,10128.0,10099.0,23.0,4.0,1.0,11.0,"Long Island, New Jersey"
801,West Brighton Community Local Development Corp./BOC Women's Business Center,N,N,N,N,Y,7188167234.0,7188164775.0,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,1207 Castleton Avenue,Staten Island,http://wbcldc.org,N,"The West Brighton Community Local Development Corporation (WBCLDC), serving the Staten Island Business Community since 1981, offers programming to assist new entrepreneurs and existing businesses. Our one-on-one business counseling and seminars on timely business topics are available to all Staten Islanders. WBCLDC hosts a satellite office of the BOC Women?s Business Center.  Through the BOC WBC, we offer one-on-one counseling, long-term training and short-term seminars targeting women entrepreneurs in Staten Island. The WBC is sponsored by the US Small Business Administration.",N,"{'latitude': '40.63412', 'longitude': '-74.122617'}",STATEN IS,40.63412,-74.122617,1.0,49.0,13302.0,5005312.0,5001980146.0,West New Brighton-New Brighton-St. George                                  ,,10310.0,10697.0,4.0,1.0,13.0,74.0,
802,Peninsula Hospital Center,N,N,N,Y,N,,7187342000.0,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,51-15 Beach Channel Dr.,Far Rockaway,http://www.peninsulahospital.org/,N,,N,,,,,,,,,,,,,,,,,,
803,ACCESS NYC,Y,Y,Y,Y,Y,,2126399675.0,Y,N,N,N,Y,N,N,Y,N,Y,Y,Y,Y,Y,N,Y,N,N,N,Y,N,N,N,N,N,Y,N,N,N,Published,,New York,http://https://a858-ihss.nyc.gov/ihss1/en_US/IHSS_languageSelectionPage.do,N,"ACCESS NYC is a free service that identifies and screens for over 30 City, State, and Federal human service benefit programs. You may use this service anonymously or you have the option to create an account.

In addition to screening for a number of benefit programs, you may also use ACCESS NYC to apply online for the School Meals program. For all other programs, you will need to take additional steps outside of ACCESS NYC to apply for benefits. ACCESS NYC will help fill out some of the applications to make the process easier and will provide information on Agency office locations that are near you. Please contact the Agencies directly to complete their applications.",N,,,,,,,,,,,,,,,,,,
804,"Isabella Geriatric Center, Inc.",N,N,Y,N,N,,2123429324.0,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,515 Audubon Avenue,New York,http://www.isabella.org/index.htm,,"Since its inspired beginning in 1875, Isabella, a non-profit, non-sectarian organization, has pioneered in the care of the elderly of New York.  Located in northern Manhattan, Isabella has grown from a traditional nursing home into a progressive provider ",,"{'latitude': '40.854783', 'longitude': '-73.927909'}",MANHATTAN,40.854783,-73.927909,12.0,10.0,277.0,1063861.0,1021600001.0,Washington Heights North                                                   ,,10040.0,13098.0,47.0,4.0,39.0,22.0,
805,Queens Federation of Churches,N,N,N,Y,N,7188477392.0,7188476764.0,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,86-17 105th St.,Richmond Hill,http://www.queenschurches.org,,,,,,,,,,,,,,,,,,,,,
806,New York City Department of Parks & Recreation,Y,Y,Y,Y,Y,,2126399675.0,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Published,,New York,http://www.nycgovparks.org/,N,"Parks & Recreation is the steward of more than 29,000 acres of land 14 percent of New York City including more than 4,000 individual properties ranging from Yankee Stadium and Central Park to community gardens and Greenstreets. We operate more than 800 athletic fields and nearly 1,000 playgrounds; we manage five major stadia, 550 tennis courts, 54 public pools, 51 recreational facilities, 15 nature centers, 13 golf courses, and 14 miles of beaches; we care for 1,200 monuments and 22 historic house museums; we look after 600,000 street trees, and two million more in parks. We are New York City's principal provider of athletic facilities. We are home to free concerts, world-class sports events, and cultural festivals.",N,,,,,,,,,,,,,,,,,,
807,Legal Action Center,N,N,Y,N,N,2126750286.0,2122431313.0,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,225 Varick Street,New York,http://www.lac.org/,N,"The Legal Action Center is the only non-profit law and policy organization in the United States whose sole mission is to fight discrimination against people with histories of addiction, HIV/AIDS, or criminal records, and to advocate for sound public polic",N,"{'latitude': '40.729165', 'longitude': '-74.00525'}",MANHATTAN,40.729165,-74.00525,2.0,3.0,67.0,1009758.0,1005810063.0,West Village                                                               ,,10014.0,12077.0,57.0,4.0,10.0,3.0,
808,Society for Accessible Travel & Hospitality,N,N,Y,N,N,,2124477284.0,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,"347 Fifth Avenue, Suite 605",New York,http://www.sath.org,,"The Society for Accessible Travel & Hospitality (SATH), founded in 1976, is an educational nonprofit membership organization whose mission is to raise awareness of the needs of all travelers with disabilities, remove physical and attitudinal barriers to f",,,,,,,,,,,,,,,,,,,
809,NYC Department of Housing Preservation and Development,Y,Y,Y,Y,Y,,2126399675.0,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Published,,New York,http://www.nyc.gov/html/hpd/html/home/home.shtml,N,"The New York City Department of Housing Preservation and Development (HPD) is the largest municipal developer of affordable housing in the nation. Since 1987, HPD has provided over $6.3 billion to support the repair, rehabilitation and new construction of hundreds of thousands of units of housing. This administration's housing agenda, The New Housing Marketplace: Creating Housing for the Next Generation, is the largest investment in the City's housing stock in 20 years. It is a $7.5 billion plan to create and preserve more than 165,000 homes and apartments in neighborhoods over ten years",N,,,,,,,,,,,,,,,,,,
810,"African American Planning Commission, Inc.",Y,N,N,N,N,7182187115.0,7182187254.0,Y,N,Y,N,Y,N,Y,N,Y,N,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,Published,P.O. Box 330-704,Brooklyn,http://www.aapci.org,N,"The African American Planning Commission, Inc. (""AAPCI"") was founded in 1996 by current Executive Director, Matthew okebiyi. 
AAPCI is a New York City-based 501(c)(3), nonprofit organization committed to addressing issues of homelessness (domestic violence, HIV/AIDS, housing shortage, and unemployment) within the communities in which we live and serve.",N,,,,,,,,,,,,11233.0,,,,,,
811,TimeBanksNYC,Y,Y,Y,Y,Y,,8662446469.0,Y,N,N,N,N,Y,N,N,N,Y,Y,Y,N,N,N,Y,N,Y,Y,N,N,N,N,N,N,Y,N,Y,Y,Published,2 Lafayette Street,New York,http://www.timebanksnyc.org,N,"Did you ever think that shoveling a walk would help you learn a foreign language? Or that tutoring a student in math would get your living room painted? By joining TimeBanksNYC, youâ€™ll be part of a network of people exchanging their talents and skills for the good of the community and personal improvement. All you have to do is donate one hour of your time to help a member, and youâ€™ll earn a credit for an hour of help from another. 

Here's how to get started: 

Visit www.timebanksnyc.org and click on â€œjoinâ€
Complete your profile and application, including 3 references
Attend an orientation 

TimeBanksNYC is located in your borough! 

TimeBanksNYC Norwood at the Mosholu Montefiore Community Center 
TimeBanksNYC Flatbush at CAMBA 
TimeBanksNYC Upper East Side at Stanley Isaacs Neighborhood Center 
TimeBanksNYC Flushing at Queens Community House 
TimeBanksNYC North Shore at Project Hospitality 

For additional information, please call 311 or email info@timebanksnyc.org",N,"{'latitude': '40.713723', 'longitude': '-74.003586'}",MANHATTAN,40.713723,-74.003586,1.0,1.0,31.0,1001672.0,1001550001.0,SoHo-TriBeCa-Civic Center-Little Italy                                     ,,10007.0,11728.0,56.0,4.0,32.0,2.0,
812,Sexual Compulsives Anonymous New York,N,N,Y,N,N,,2124391123.0,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,"P.O. Box 1585, Old Chelsea Station",New York,http://www.sca-recovery.org/,,"Sexual Compulsives Anonymous is a fellowship of men and women who share their experience, strength and hope with each other, that they may solve their common problem and help others to recover from sexual compulsion. The only requirement for membership is",,,,,,,,,,,,,,,,,,,
813,The Northern Manhattan Perinatal Partnership Inc.,N,N,Y,N,N,,3476238445.0,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,127 West 127th Street,New York,,,,,"{'latitude': '40.809488', 'longitude': '-73.945496'}",MANHATTAN,40.809488,-73.945496,10.0,9.0,224.0,1057904.0,1019120012.0,Central Harlem North-Polo Grounds                                          ,,10027.0,12424.0,18.0,4.0,36.0,20.0,
814,Spoons Across America,Y,Y,Y,Y,Y,7185220204.0,7185220209.0,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,505 Court Street,Brooklyn,http://www.spoonsacrossamerica.org,N,"Spoons Across America, the source for children's culinary education is a not-for-profit organization dedicated to educating children, teachers, and families about the benefits of healthy eating. We work to influence the eating habits of children through hands-on education that celebrates the connection to local farmers and the important tradition of sharing meals around the family table. 

Spoons Across America is a 501 (c)(3) not-for-profit organization founded on the premise that it is essential to the health of our children and our society to bring the joys of the table to the children of America. The table is where children learn about conversation, consideration, tolerance and other tools for getting along in society. When activities are centered around healthful food, children experience a fun and exciting way to learn about nutrition, the physiology of taste, and how food weaves its way through daily life, from the farm to the table. 


Our programs encourage healthy eating.
How? All of the program recipes use a variety of fruits, vegetables, and whole grains, which are beneficial to long-term health and well-being.

Our programs encourage family meals.
How? Whenever possible, Spoons Across America curricula involve in-class and homework assignments that initiate family meals, encourage family participation, and enrich the family eating experience.

Our programs address the educational needs of children. How? Spoons Across America creates quality hands-on education programs that fulfill New York State educational standards and incorporates valuable life lessons.

The Spoons Across America programs include:
1. Greenmarket Tour Guides
2. NY Agricultural Literacy Day
3. The Dinner Party Project
4. AIWF NY/Days of Taste program",N,"{'latitude': '40.675574', 'longitude': '-73.999156'}",BROOKLYN ,40.675574,-73.999156,6.0,39.0,77.0,3397571.0,3004767501.0,Carroll Gardens-Columbia Street-Red Hook                                   ,Suite 2E,11231.0,13514.0,14.0,2.0,27.0,48.0,
815,Girls Incorporated of New York City,Y,Y,Y,Y,Y,2125317622.0,2125317620.0,N,N,N,Y,N,N,N,N,N,Y,N,Y,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,Y,N,Published,64 Beaver Street,New York,http://www.girlsincnyc.org,N,"Girls Incorporated of New York City is dedicated to inspiring all girls to be strong, smart, and bold.  We carry out our mission by delivering research-based experiential education programs with girls ages 6-18 during and after school and by delivering staff development trainings in the areas of gender equity and sexuality education. Our comprehensive programs are developed by the national organization, Girls Inc., and focus on the following topics: media literacy, economic literacy, violence prevention, self defense, sports, science, technology, health, sexuality and career readiness.",N,"{'latitude': '40.705198', 'longitude': '-74.009648'}",MANHATTAN,40.705198,-74.009648,1.0,1.0,7.0,1000832.0,1000280005.0,Battery Park City-Lower Manhattan                                          ,Suite 121,10004.0,11726.0,56.0,4.0,32.0,1.0,
816,Iris House-A Center for Women Living with HIV/AIDS,N,N,Y,N,N,2124239193.0,2124239049.0,N,N,N,N,N,N,Y,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,2271 Second Ave.,New York,http://www.irishouse.org/index.html,,"Established in 1993 by the Women and AIDS Working Group, Iris House provides comprehensive services and advocacy for women, families, and communities infected with and affected by HIV/AIDS, while simultaneously providing prevention and education services ",,,,,,,,,,,,,,,,,,,
817,NYC Business Solutions,Y,Y,Y,Y,Y,,2126399675.0,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Published,,New York,http://www.nyc.gov/html/sbs/nycbiz/html/home/home.shtml,N,"NYC Business Solutions is committed to helping businesses start, operate, and expand in New York City. Regardless of the size or stage of your business, we can help you access services that meet your needs as you continue to grow and expand.",N,,,,,,,,,,,,,,,,,,
818,NYC Department of Cultural Affairs,Y,Y,Y,Y,Y,,2126399675.0,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Published,,New York,http://www.nyc.gov/html/dcla/html/home/home.shtml,N,"The New York City Department of Cultural Affairs (DCLA) is dedicated to supporting and strengthening New York City's vibrant cultural life. Among our primary missions is to ensure adequate public funding for non-profit cultural organizations, both large and small, throughout the five boroughs. DCLA also works to promote and advocate for quality arts programming and to articulate the contribution made by the cultural community to the City's economic vitality. The Department represents and serves non-profit cultural organizations involved in the visual, literary and performing arts; public-oriented science and humanities institutions including zoos, botanical gardens and historic and preservation societies; and creative artists at all skill levels who live and work within the City's five boroughs. Through its Materials for the Arts Program, DCLA provides free supplies for use in arts programs offered by non-profit groups and New York City public schools. DCLA has also changed the physical landscape of New York City through its Percent for Art program by commissioning more than 180 works of art by some of the world's leading artists at public building sites throughout the city.",N,,,,,,,,,,,,,,,,,,
819,"Lambda Legal Defense and Education Fund, Inc.",N,N,Y,N,N,2122135597.0,2122135545.0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,Published,"15 East 26 St., Suite 919",New York,http://www.lambdalegal.org,,"Lambda Legal is a national organization committed to achieving full recognition of the civil rights of lesbians, gay men, bisexuals, transgender people and those with HIV through impact litigation, education and public policy work.",,,,,,,,,,,,,,,,,,,
820,"New York Association for New Americans, Inc. (NYANA)",N,N,Y,N,N,,2124252900.0,N,N,N,N,N,N,N,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,"2 Washington Street, 9th Fl.",New York,,N,,N,"{'latitude': '40.705137', 'longitude': '-74.015585'}",MANHATTAN,40.705137,-74.015585,1.0,1.0,13.0,1087080.0,1000157501.0,Battery Park City-Lower Manhattan                                          ,,10004.0,11725.0,56.0,4.0,32.0,1.0,
821,New York City Department of Youth and Community Development,Y,Y,Y,Y,Y,,2126399675.0,N,N,Y,N,Y,Y,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,Published,,New York,http://www.nyc.gov/html/dycd/html/home/home.shtml,N,"The Department of Youth and Community Development (DYCD) was created in 1996 to provide the City of New York with high-quality youth and family programming.ï¿½Our central task is administering available City, state, and federal funds to effective community-based organizations.ï¿½Selected organizations must be in touch with the needs of the people they serve, devoted to the highest principles of community service, and committed to sound fiscal management.",N,,,,,,,,,,,,,,,,,,
822,"University Settlement Society of New York, Inc",N,N,Y,N,N,,2126749120.0,Y,N,Y,N,Y,N,N,N,N,Y,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Published,184 Eldridge Street,New York,http://www.universitysettlement.org/,,,,"{'latitude': '40.720653', 'longitude': '-73.990674'}",MANHATTAN,40.720653,-73.990674,3.0,1.0,18.0,1005483.0,1004150018.0,Chinatown                                                                  ,,10002.0,11723.0,70.0,4.0,32.0,2.0,
823,Black Veterans for Social Justice,Y,N,N,N,N,7188524805.0,7188526004.0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,Published,665 Willoughby Street,Brooklyn,http://www.bvsj.org,N,"Black Veterans for Social Justice, Inc. has obtained thirty-four (34) residential housing facilities, housing over 300 ex-homeless veterans and their families, one temporary emergency menâ€™s shelter, â€œPamoja Houseâ€ of 200 beds, and one single room occupancy facility with 175 rooms of permanent housing for veterans (Veterans Residence). Within these facilities we provide social services, mental health services, vocational training, employment referrals and permanent employment opportunities. We also provide Rental Assistance services (RAP) and Temporary Aid to needy Families (TANF). 

BVSJ Veteran Resource Center is where veterans are assisted with Employment Services Program (VESP), Homeless Veterans Reintegration Program (HVRP), small business education, home ownership workshops, military issues workshops, compensation, upgrading discharges and referral for legal advocacy as well as the outreach of our Community Affairs Office, our network linkage to various resources for Veterans and the people in our community.",N,,,,,,,,,,,,11206.0,,,,,,
824,Midwood Development Corporation,Y,N,N,N,N,,7183760999.0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Published,1416 Avenue M,Brooklyn,,,,,"{'latitude': '40.617962', 'longitude': '-73.960396'}",BROOKLYN ,40.617962,-73.960396,14.0,48.0,768.0,3180877.0,3067430006.0,Midwood                                                                    ,,11230.0,13513.0,60.0,2.0,15.0,43.0,
825,Teachers and Writers Collaborative,N,N,Y,N,N,,2126916590.0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,Published,5 Union Square West,New York,http://www.twc.org/,,Writers-in-Residence Program,,,,,,,,,,,,,,,,,,,
826,"Redstockings, Inc.",N,N,Y,N,N,,2129296720.0,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,POB 744 Stuyvesant Station,New York,http://www.redstockings.org,,,,,,,,,,,,,,,,,,,,,
827,Girls Incorporated,N,N,Y,N,N,,2125092000.0,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,120 Wall Street; Third floor,New York,http://www.girlsinc.org,N,"Girls Incorporated is a nonprofit organization that inspires all girls to be strong, smart, and bold.  With local roots dating to 1864 and national status since 1945, Girls Inc. has responded to the changing needs of girls through research-based programs and public education efforts that empower girls to understand, value, and assert their rights.  In 2007, Girls Inc. reached over 900,000 girls through Girls Inc. affiliates, our website, and educational publications.",Y,"{'latitude': '40.70438', 'longitude': '-74.006427'}",MANHATTAN,40.70438,-74.006427,1.0,1.0,7.0,1000871.0,1000370001.0,Battery Park City-Lower Manhattan                                          ,,10005.0,11726.0,56.0,4.0,32.0,1.0,97 organizations across the U.S. and Canada
828,"Loisaida, Inc.",N,N,Y,N,N,,2123530272.0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Published,12 Avenue D,New York,http://loisaidainc.org/htm/,,"Loisaida, Inc is a community-based organization founded in 1979 at a time when the neighborhood was confronted with violence, drugs, gangs, and poverty. At that time 126 agencies, businesses, and individuals formed a Task Force to address the problems and",,"{'latitude': '40.720462', 'longitude': '-73.978369'}",MANHATTAN,40.720462,-73.978369,3.0,2.0,20.0,1078045.0,1003560001.0,Lower East Side                                                            ,,10009.0,11723.0,70.0,4.0,50.0,5.0,
829,COMMUNITY BOARD 1 CERT TEAM,Y,N,N,N,N,,9174421645.0,Y,N,N,Y,N,Y,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,Published,366 HEWES STREET,BROOKLYN,,Y,"During non-emergency situations, NYC CERTs educate their communities on emergency preparedness by working with the Ready New York program and building community disaster networks",N,"{'latitude': '40.707949', 'longitude': '-73.951621'}",BROOKLYN ,40.707949,-73.951621,1.0,34.0,527.0,3256410.0,3024390001.0,North Side-South Side                                                      ,,11211.0,17613.0,36.0,2.0,30.0,56.0,
830,Scenarios USA,Y,N,N,N,N,7182304381.0,7182305125.0,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,"80 Hanson Place, Suite 305",Brooklyn,http://www.scenariosusa.org,N,"Scenarios USA is a 501(c)3 nonprofit organization that that uses writing and filmmaking to foster youth leadership, advocacy and self-expression in under-served teens. Scenarios USA asks teens to write about the issues that shape their lives for the annual ""What's the REAL DEAL?"" writing contest, and thousands have responded with their raw and revealing insights. 

The winning writers are partnered with some of Hollywood's finest filmmakers to transform their stories into award-winning short films. 15 million people a year watch the Scenarios USA films at film festivals, on television and in high schools nationwide. Scenarios USA believes that by valuing youth and listening to their opinions we can have an impact on promoting healthy relationships and lowering the rate of HIV, STDs and pregnancy among teens.",Y,"{'latitude': '40.685488', 'longitude': '-73.974421'}",BROOKLYN ,40.685488,-73.974421,2.0,35.0,35.0,3057479.0,3020030034.0,Fort Greene                                                                ,,11217.0,17619.0,68.0,2.0,48.0,55.0,"Cleveland, OH and Madison Wisconsin"
